Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,PlayerID
88,Linus Ullmark,30,BOS,40,39,22,10,7,103,1207,1104,0.915,2.57,2,8.3,2400,26,0.667,3,88,13.67,0,1,1,2,ullmali01
89,Vítek Vaněček,28,NJD,32,29,17,9,3,95,862,767,0.89,3.18,0,3.8,1792,12,0.414,8,114,-11.68,0,1,1,0,vanecvi01
90,Semyon Varlamov,35,NYI,28,27,14,8,4,69,837,768,0.918,2.6,3,6,1595,18,0.667,1,85,11.91,0,0,0,0,varlasi01
91,Andrei Vasilevskiy,29,TBL,52,52,30,20,2,148,1477,1329,0.9,2.9,2,7.9,3063,27,0.519,9,104,-5.23,0,2,2,2,vasilan02
92,Karel Vejmelka,27,ARI,38,33,13,19,2,114,1089,975,0.895,3.35,1,5.4,2040,14,0.424,10,108,-8.74,0,2,2,2,vejmeka01
93,Matt Villalta,24,ARI,2,1,0,1,0,5,29,24,0.828,4.17,0,-0.1,72,0,0,1,,,0,0,0,0,villama01
94,Daniel Vladař,26,CGY,20,19,8,9,2,68,574,506,0.882,3.62,0,2,1129,8,0.421,6,123,-12.52,0,0,0,0,vladada01
95,Jesper Wallstedt,21,MIN,3,3,2,1,0,9,87,78,0.897,3.01,1,0.4,179,2,0.667,1,,,0,0,0,0,wallsje01
96,Scott Wedgewood,31,DAL,32,28,16,7,5,85,844,759,0.899,2.85,0,4.5,1789,13,0.464,4,104,-3.42,0,0,0,0,wedgesc01
97,Dustin Wolf,22,CGY,17,15,7,7,1,50,467,417,0.893,3.16,0,2.2,951,7,0.467,2,111,-4.86,0,0,0,0,wolfdu01
98,Joseph Woll,25,TOR,25,23,12,11,1,72,772,700,0.907,2.94,0,4.7,1472,11,0.478,4,96,2.62,0,0,0,0,wolljo01
