Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
1,A.J. Greer,20,COL,LW,5,0,0,0.2,0.2,0.05,0.8,1.6,0,1,1,0,1,0,3,0,-2,2.5,2.5,0,-0.1,0,-0.1,0,,,,greeraj01
2,Aaron Dell,27,SJS,G,20,0,0,0,0,0,0,0,0,0,0,0,43,7,37,9,0,32.7,34.1,0,0,0,4.2,0,,,,dellaa01
3,Aaron Ekblad,20,FLA,D,68,8,0.15,0.16,0.31,0.12,0.85,3.31,11,12,23,9,54,19,62,4,-23,42.2,44.8,-2.6,1.6,1.7,3.4,1,0,1,0,ekblaaa01
4,Aaron Ness,26,WSH,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0.6,0.6,-0.1,0,0,-0.1,0,,,,nessaa01
5,Adam Clendening,24,NYR,D,31,4,0.06,0.29,0.35,0.11,0.55,1.23,2,10,12,4,23,3,17,0,3,17.3,15.3,2,0.8,1.1,1.9,0,,,,clendad01
6,Adam Cracknell,31,DAL,RW,69,7,0.14,0.09,0.23,0.1,0.17,1.26,11,7,18,8,29,0,24,4,9,25.9,26,-0.2,0.9,1.1,1.9,0,,,,crackad01
7,Adam Erne,21,TBL,LW,26,2,0.12,0,0.12,0.06,0.42,1.54,3,0,3,2,5,1,13,0,-9,10.1,9.4,0.7,-0.2,0,-0.2,0,,,,ernead01
8,Adam Henrique,26,NJD,C,82,16,0.24,0.24,0.49,0.2,0.46,1.73,22,22,44,18,63,17,82,17,-20,40.5,44.1,-3.5,2.5,1.3,3.9,0,,,,henriad01
9,Adam Larsson,24,EDM,D,79,6,0.05,0.19,0.24,0.08,0.7,1.08,4,16,20,7,77,0,74,19,21,61.7,56.3,5.5,0.6,5,5.5,0,,,,larssad01
10,Adam Lowry,23,WPG,C,82,12,0.18,0.17,0.35,0.15,0.63,1.49,17,15,32,13,57,18,66,26,1,36.5,35.6,0.9,1.2,1.2,2.4,0,,,,lowryad01
11,Adam McQuaid,30,BOS,D,77,3,0.03,0.1,0.13,0.04,0.92,0.83,2,9,11,4,51,0,66,18,4,47.9,42.6,5.2,-0.4,3.7,3.3,0,,,,mcquaad01
12,Adam Pardy,32,NSH,D,4,0,0,0,0,0,1.5,1,0,0,0,0,1,0,2,0,-1,1,2,-0.9,-0.1,0,-0.1,0,,,,pardyad01
13,Adam Pelech,22,NYI,D,44,4,0.07,0.16,0.23,0.08,0.14,0.91,3,8,11,4,27,0,34,2,-5,23,29.8,-6.8,0.5,0.8,1.4,0,,,,pelecad01
14,Adrian Kempe,20,LAK,LW,25,2,0.08,0.16,0.24,0.09,0.24,1.28,2,4,6,2,10,4,11,2,-3,9,6.5,2.5,0,0.3,0.4,1,0,1,0,kempead01
15,Al Montoya,31,MTL,G,19,1,0,0.11,0.11,0.03,0.11,0,0,2,2,1,46,12,50,12,0,33.8,36.9,0,0,0,3.3,0,,,,montoal01
16,Alan Quine,23,NYI,C,61,6,0.08,0.21,0.3,0.1,0.13,1.34,6,14,20,7,36,3,37,2,-2,25.8,33.1,-7.3,0.5,0.6,1.1,1,0,1,0,quineal01
17,Alec Martinez,29,LAK,D,82,13,0.11,0.37,0.48,0.16,0.29,1.76,10,33,43,14,80,23,90,15,-17,53.9,45.3,8.6,3.1,3.7,6.8,0,,,,martial01
18,Aleksander Barkov,21,FLA,C,61,20,0.34,0.51,0.85,0.32,0.16,2.33,23,34,57,22,71,20,44,5,13,37.4,31.5,6,4.8,2.1,6.9,10,7,3,70,barkoal01
19,Aleš Hemský,33,DAL,RW,15,3,0.27,0.2,0.47,0.2,0,2,4,3,7,3,7,2,6,0,-1,7.3,6.1,1.2,0.6,0.2,0.8,1,0,1,0,hemskal01
20,Alex Biega,28,VAN,D,36,1,0,0.08,0.08,0.02,0.5,1.03,0,3,3,1,12,0,23,7,-4,15.2,19.8,-4.6,-0.3,0.9,0.7,0,,,,biegaal01
21,Alex Chiasson,26,CGY,RW,81,10,0.15,0.15,0.3,0.12,0.57,1.28,13,13,26,11,38,5,45,7,-6,34,31.3,2.7,0.8,1.1,1.9,0,,,,chiasal01
22,Alex Galchenyuk,22,MTL,C,61,17,0.28,0.44,0.72,0.27,0.39,1.7,19,30,49,19,60,18,47,0,-5,34.9,39.8,-4.9,4,0.9,4.9,2,0,2,0,galchal01
23,Alex Goligoski,31,ARI,D,82,11,0.07,0.37,0.44,0.14,0.34,1.37,7,33,40,13,84,14,113,34,-9,50.7,69.6,-18.9,2.3,3.6,5.9,0,,,,goligal01
24,Alex Killorn,27,TBL,LW,81,15,0.23,0.21,0.44,0.18,0.81,2.17,21,19,40,17,71,28,64,12,-9,37.8,46.9,-9.1,2,1.3,3.3,1,0,1,0,killoal01
25,Alex Nedeljkovic,21,CAR,G,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.9,0.7,0,0,0,0.3,0,,,,nedelal01
