Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
15,Adam Raška,20,SJS,RW,5,0,0,0,0,0,1.4,0.4,0,0,0,0,1,0,0,0,1,1.5,1.1,0.4,-0.1,0.1,0,0,,,,raskaad01
16,Adam Ružička,22,CGY,C,28,4,0.18,0.18,0.36,0.15,0.29,1.18,5,5,10,4,14,0,6,0,8,12,9.3,2.7,0.7,0.6,1.2,0,,,,ruzicad01
17,Adin Hill,25,SJS,G,25,1,0,0.08,0.08,0.02,0,0,0,2,2,1,58,13,61,12,0,46.9,45.1,,0,0,3.5,0,,,,hillad01
18,Adrian Kempe,25,LAK,LW,78,25,0.45,0.24,0.69,0.32,0.59,3.17,34,18,52,23,80,25,74,17,-2,49.7,45.3,4.3,4.8,1.7,6.5,7,3,4,42.9,kempead01
19,Akira Schmid,21,NJD,G,6,0,0,0,0,0,0,0,0,0,0,0,9,0,19,1,0,8.4,9.8,,0,0,-0.2,0,,,,schmiak01
20,Alec Martinez,34,VEG,D,26,3,0.12,0.19,0.31,0.12,0.15,1.23,3,5,8,3,24,1,23,6,6,23.5,21.5,2,0.5,1.4,1.9,0,,,,martial01
21,Alec Regula,21,CHI,D,15,1,0.07,0,0.07,0.04,0.8,1.2,1,0,1,1,12,0,13,0,-1,9.3,9.2,0.1,-0.1,0.6,0.5,0,,,,regulal01
22,Aleksander Barkov,26,FLA,C,67,34,0.58,0.73,1.31,0.51,0.27,3.19,38,47,85,34,126,45,66,21,36,57.9,34.4,23.5,8.4,2.2,10.6,5,3,2,60,barkoal01
23,Aleksi Heponiemi,23,FLA,C,6,0,0,0.17,0.17,0.05,0.33,1.17,0,1,1,0,1,1,6,0,-6,4.7,4.4,0.4,-0.1,-0.2,-0.3,0,,,,heponal01
24,Alex Barré-Boulet,24,TOT,F,16,2,0.19,0.19,0.38,0.15,0.25,1,3,3,6,2,9,2,7,0,0,4.6,8.2,-3.6,0.4,0.2,0.6,0,,,,barreal01
25,Alex Belzile,30,MTL,F,11,0,0,0,0,0,0.36,1.18,0,0,0,0,3,0,4,1,0,3.9,4.1,-0.1,-0.3,0.1,-0.2,0,,,,belzial01
26,Alex Biega,33,TOR,D,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,-2,0.7,0.9,-0.2,0,-0.1,-0.1,0,,,,biegaal01
27,Alex Chiasson,31,VAN,RW,67,10,0.19,0.13,0.33,0.14,0.36,1.46,13,9,22,10,45,17,23,0,4,25.5,26.5,-1,1.3,1.1,2.3,0,,,,chiasal01
28,Alex DeBrincat,24,CHI,RW,82,32,0.5,0.45,0.95,0.39,0.23,3.29,40,35,75,31,113,39,94,7,-13,58.6,55.5,3.1,6.5,1.9,8.4,5,4,1,80,debrial01
29,Alex Formenton,22,OTT,LW,79,14,0.23,0.18,0.41,0.17,0.75,2.05,17,13,30,13,42,1,72,18,-13,42.9,49,-6.1,1.5,1.2,2.7,0,,,,formeal01
30,Alex Galchenyuk,27,ARI,C,60,7,0.1,0.25,0.35,0.12,0.53,1.48,6,14,20,7,34,2,44,1,-11,26.6,42.4,-15.9,0.4,0.5,0.9,2,2,0,100,galchal01
31,Alex Goligoski,36,MIN,D,72,9,0.03,0.39,0.42,0.12,0.47,1.11,2,27,29,8,97,7,62,13,41,60.6,46.3,14.3,1.4,4.7,6.1,0,,,,goligal01
32,Alex Iafallo,28,LAK,C,79,15,0.22,0.25,0.47,0.19,0.1,2.72,16,19,35,14,71,18,69,20,4,47.9,40.8,7.1,1.3,2,3.3,3,1,2,33.3,iafalal01
33,Alex Killorn,32,TBL,C/LW,82,23,0.3,0.41,0.72,0.28,0.8,2,24,32,56,22,109,45,78,15,1,47.1,47.2,-0.1,3.8,1.6,5.4,1,0,1,0,killoal01
34,Alex Lyon,29,CAR,G,2,0,0,0,0,0,0,0,0,0,0,0,6,2,6,1,,2.4,4.3,,0,0,0.4,0,,,,lyonal01
35,Alex Nedeljkovic,26,DET,G,59,1,0,0.03,0.03,0.01,0.03,0,0,2,2,1,150,22,178,31,0,106.1,130.1,,0,0,8.8,0,,,,nedelal01
36,Alex Newhook,21,COL,C,71,12,0.18,0.28,0.46,0.17,0.17,1.59,13,19,32,12,46,11,25,1,11,34,31.8,2.2,1.7,1.2,3,0,,,,newhoal01
37,Alex Ovechkin,36,WSH,LW,77,39,0.65,0.52,1.17,0.5,0.23,4.34,49,38,87,37,129,44,77,0,8,50.7,51.2,-0.5,9.4,2,11.4,5,3,2,60,ovechal01
38,Alex Pietrangelo,32,VEG,D,80,16,0.16,0.39,0.55,0.2,0.53,2.84,13,29,42,15,104,18,102,23,7,78.5,66.3,12.3,3.2,4.4,7.5,0,,,,pietral01
39,Alex Stalock,34,SJS,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,1.3,2,,0,0,-0.2,0,,,,staloal01
40,Alex Steeves,22,TOR,F,3,0,0,0.33,0.33,0.09,0,0.67,0,1,1,0,1,0,2,0,-1,0.7,1,-0.2,0,0,0,0,,,,steeval02
41,Alex Tuch,25,BUF,RW,50,14,0.24,0.52,0.76,0.28,0.28,2.78,12,25,37,13,65,17,60,9,-3,36.4,29.2,7.2,2.3,1.1,3.4,3,2,1,66.7,tuchal01
42,Alex Turcotte,20,LAK,C,8,0,0,0,0,0,0.25,1.63,0,0,0,0,2,0,2,0,0,2.2,3,-0.8,-0.3,0.1,-0.1,0,,,,turcoal02
43,Alex Vlasic,20,CHI,D,15,1,0.07,0.07,0.13,0.05,0.13,0.8,1,1,2,1,9,0,13,2,-2,9.2,8,1.2,0,0.4,0.4,0,,,,vlasial01
44,Alexandar Georgiev,25,NYR,G,33,0,0,0,0,0,0,0,0,0,0,0,84,19,85,21,0,55.6,58.1,,0,0,3.8,0,,,,georgal01
45,Alexander Alexeyev,22,WSH,D,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.4,0,0,0,0,,,,alexeal01
46,Alexander Barabanov,27,SJS,F,70,13,0.14,0.41,0.56,0.19,0.2,1.47,10,28,38,13,64,14,55,0,-5,42.1,47.7,-5.6,1.3,1.7,3,0,,,,barabal01
47,Alexander Edler,35,LAK,D,41,6,0.07,0.39,0.46,0.15,0.83,1.32,3,15,18,6,41,1,30,8,18,33.6,26.3,7.3,1.3,3,4.3,0,,,,edleral01
48,Alexander Holtz,20,NJD,RW,9,1,0,0.22,0.22,0.06,0.22,1.33,0,2,2,1,3,1,7,0,-5,2.8,5.4,-2.6,-0.1,-0.1,-0.2,1,0,1,0,holtzal01
49,Alexander Kerfoot,27,TOR,C,82,17,0.16,0.46,0.62,0.21,0.24,1.43,13,36,49,17,73,1,69,16,19,51.2,45.1,6.1,2.7,1.8,4.5,1,1,0,100,kerfoal01
50,Alexander Radulov,35,DAL,RW,71,7,0.06,0.25,0.31,0.1,0.42,1.3,4,17,21,7,44,19,45,0,-20,34.7,32.1,2.7,-0.3,0.7,0.3,3,1,2,33.3,radulal01
51,Alexander Romanov,22,MTL,D,79,4,0.04,0.13,0.16,0.06,0.67,1.35,3,9,12,4,65,0,113,39,-9,54.6,67.6,-13,-0.4,2.6,2.1,0,,,,romanal01
52,Alexander True,24,SEA,F,8,0,0,0,0,0,0.25,0.75,0,0,0,0,1,0,3,0,-2,2,1.3,0.7,-0.2,0,-0.2,0,,,,trueal01
53,Alexander Wennberg,27,SEA,C,80,13,0.14,0.33,0.46,0.16,0.35,1.19,11,25,36,13,62,13,84,9,-26,43.3,44.9,-1.6,0.6,1,1.6,1,0,1,0,wennbal01
54,Alexandre Carrier,25,NSH,D,77,9,0.04,0.35,0.39,0.11,0.65,1.23,3,26,29,9,73,9,63,25,26,52,54.3,-2.3,1.1,5.2,6.4,0,,,,carrial01
55,Alexandre Texier,22,CBJ,C,36,8,0.31,0.25,0.56,0.23,0.33,1.64,11,9,20,8,29,0,34,5,0,17,22.6,-5.6,1.5,0.5,2.1,2,1,1,50,texieal01
56,Alexey Toropchenko,22,STL,RW,28,1,0.07,0,0.07,0.04,0.54,1.54,2,0,2,1,7,0,16,0,-9,11.8,12.2,-0.3,-0.5,0,-0.5,0,,,,toropal01
57,Alexis Lafrenière,20,NYR,LW,79,13,0.24,0.15,0.39,0.17,0.47,1.39,18,11,29,13,49,7,40,0,2,40.6,43.9,-3.2,1.7,1.5,3.2,4,1,3,25,lafreal01
58,Aliaksei Protas,21,WSH,C,33,3,0.09,0.18,0.27,0.1,0,1.03,3,6,9,3,19,2,13,0,4,14.7,12.4,2.3,0.1,0.6,0.7,0,,,,protaal01
59,Anders Bjork,25,BUF,LW,58,4,0.09,0.05,0.14,0.06,0.17,0.88,5,3,8,4,17,0,33,2,-14,18.1,28.8,-10.7,-0.7,0.4,-0.3,0,,,,bjorkan01
60,Anders Lee,31,NYI,LW,76,20,0.37,0.24,0.61,0.27,0.45,2.09,27,17,44,19,87,26,72,0,-11,49.5,55.3,-5.8,3.7,1.4,5.1,1,0,1,0,leean01
61,André Burakovsky,26,COL,LW,80,22,0.28,0.49,0.76,0.28,0.23,1.86,21,37,58,22,98,21,65,0,12,54.9,49.7,5.3,4.3,1.6,5.9,1,0,1,0,burakan01
62,Andreas Athanasiou,27,LAK,C,28,8,0.39,0.21,0.61,0.28,0.14,2.54,11,6,17,8,25,2,16,0,7,15.5,15.1,0.4,1.6,0.8,2.4,0,,,,athanan01
63,Andreas Johnsson,27,NJD,LW,71,13,0.18,0.31,0.49,0.18,0.42,1.61,13,21,34,13,59,3,52,0,4,44.6,40.9,3.7,1.8,1.3,3.1,2,1,1,50,johnsan01
64,Andrei Svechnikov,21,CAR,RW,78,27,0.38,0.5,0.88,0.34,1.01,3.19,29,37,66,26,109,39,51,0,19,54.1,44.7,9.4,5.7,2.2,7.9,3,1,2,33.3,svechan01
65,Andrei Vasilevskiy,27,TBL,G,63,0,0,0.02,0.02,0,0.1,0,0,1,1,0,200,41,156,38,0,129.8,127.2,,0,0,12.2,0,,,,vasilan02
66,Andrej Sekera,35,DAL,D,32,1,0.03,0.09,0.13,0.04,0.5,0.81,1,3,4,1,12,0,19,4,-3,13.6,17.2,-3.5,-0.1,0.9,0.9,0,,,,sekeran01
67,Andrej Šustr,31,TOT,D,38,2,0.03,0.13,0.16,0.05,0.42,0.74,1,5,6,2,14,0,26,8,-4,17.5,23.8,-6.3,0,1,1,0,,,,sustran01
68,Andrew Agozzino,31,OTT,LW,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.2,-0.1,0,0,0,0,,,,agozzan01
69,Andrew Cogliano,34,TOT,LW/C,74,5,0.05,0.16,0.22,0.07,0.27,1.01,4,11,15,5,28,0,57,11,-18,21.6,33.5,-11.9,-0.7,0.7,0,0,,,,coglian01
70,Andrew Copp,27,TOT,C,72,20,0.29,0.44,0.74,0.28,0.22,2.54,21,30,51,20,81,19,71,24,15,46.9,45.1,1.8,3.3,2.2,5.4,0,,,,coppan01
71,Andrew Hammond,33,TOT,G,11,0,0,0,0,0,0,0,0,0,0,0,24,1,38,4,0,19.9,22.9,,0,0,0.8,0,,,,hammoan01
72,Andrew Ladd,36,ARI,LW,51,5,0.14,0.1,0.24,0.1,0.92,1.12,7,5,12,5,25,8,41,4,-20,17.8,26.3,-8.6,-0.2,0.1,-0.1,1,0,1,0,laddan01
73,Andrew Mangiapane,25,CGY,LW,82,25,0.43,0.24,0.67,0.3,0.46,2.26,34,19,53,24,76,17,50,11,20,56.6,36.2,20.4,5.2,2,7.2,1,0,1,0,mangian01
74,Andrew Peeke,23,CBJ,D,82,5,0.02,0.16,0.18,0.06,0.73,0.88,2,12,14,4,65,0,112,33,-14,53.1,70.4,-17.3,-0.5,2.3,1.7,0,,,,peekean01
75,Andrew Poturalski,28,CAR,C,2,1,0,1,1,0.27,0,2,0,2,2,1,2,2,1,0,-1,0.5,1.2,-0.7,0.1,0,0.1,0,,,,poturan01
76,Andy Andreoff,30,NYI,LW,6,1,0.17,0,0.17,0.09,0,1,1,0,1,1,1,0,2,0,-1,1.3,3,-1.6,0,0,0.1,0,,,,andrean01
77,Andy Greene,39,NYI,D,69,3,0.03,0.12,0.14,0.05,0.14,0.75,2,8,10,3,39,0,61,9,-13,41.3,52.2,-10.9,-0.3,2.1,1.8,0,,,,greenan01
78,Anthony Angello,25,PIT,C,4,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,1,0,0,0.4,0.8,-0.4,-0.1,0,0,0,,,,angelan01
79,Anthony Beauvillier,24,NYI,LW,75,13,0.16,0.29,0.45,0.17,0.16,2.05,12,21,33,12,61,16,57,2,-10,48.7,56.7,-8,1,1.4,2.4,7,1,6,14.3,beauvan01
80,Anthony Cirelli,24,TBL,C,76,16,0.22,0.34,0.57,0.21,0.92,1.92,16,25,41,16,73,14,64,20,15,48.1,42.9,5.2,1.9,2,3.9,1,0,1,0,cirelan01
81,Anthony Duclair,26,FLA,LW,74,24,0.42,0.36,0.78,0.32,0.41,2.26,30,26,56,23,102,38,46,1,19,53.8,41.2,12.6,5.5,1.4,6.9,1,0,1,0,duclaan01
82,Anthony Greco,28,NYR,RW,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.4,0.6,0,0,0,0,,,,grecoan01
83,Anthony Mantha,27,WSH,RW,37,9,0.24,0.38,0.62,0.24,0.38,2.22,9,13,22,8,36,6,26,0,4,20.6,19.4,1.2,1.6,0.8,2.3,2,1,1,50,manthan01
84,Anthony Stolarz,28,ANA,G,28,0,0,0.04,0.04,0.01,0.07,0,0,1,1,0,72,11,67,11,0,52.7,54.4,,0,0,5.3,0,,,,stolaan01
85,Antoine Roussel,32,ARI,LW,53,3,0.08,0.08,0.15,0.06,1.11,1.11,4,4,8,3,12,0,41,13,-16,17.3,27.8,-10.5,-0.6,0.2,-0.5,1,0,1,0,roussan01
86,Anton Blidh,26,BOS,LW,32,3,0.06,0.22,0.28,0.09,0.75,0.88,2,7,9,3,10,0,16,3,-3,8.9,11,-2.1,0.1,0.3,0.4,0,,,,blidhan01
87,Anton Forsberg,29,OTT,G,46,0,0,0,0,0,0.04,0,0,0,0,0,121,24,121,21,0,83.6,99,,0,0,9.6,0,,,,forsban01
88,Anton Khudobin,35,DAL,G,9,0,0,0,0,0,0,0,0,0,0,0,21,5,28,9,0,15.5,14,,0,0,0.6,0,,,,khudoan01
89,Anton Lundell,20,FLA,C,65,17,0.28,0.4,0.68,0.26,0.28,1.92,17,25,42,16,76,7,62,26,33,43.6,33.1,10.5,3.1,1.9,5,4,2,2,50,lundean01
90,Anton Strålman,35,ARI,D,74,8,0.11,0.2,0.31,0.11,0.16,1.28,8,14,22,8,67,1,117,34,-16,49.5,68.1,-18.6,1,2.5,3.6,0,,,,stralan01
91,Antti Raanta,32,CAR,G,28,0,0,0,0,0,0,0,0,0,0,0,86,14,62,11,0,59,53.1,,0,0,4.3,0,,,,raantan01
92,Anže Kopitar,34,LAK,C,81,24,0.23,0.59,0.83,0.29,0.17,2.59,18,46,64,22,92,29,93,24,-6,56.4,50.1,6.3,3.8,1.9,5.7,6,1,5,16.7,kopitan01
93,Artem Zub,26,OTT,D,81,8,0.07,0.2,0.27,0.1,0.74,1.14,6,15,21,7,60,0,72,13,1,56.3,62.5,-6.2,0.7,4.3,4.9,0,,,,zubar01
94,Artemi Kniazev,21,SJS,D,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,-2,0.2,0.5,-0.3,0,-0.1,-0.1,0,,,,kniazar01
95,Artemi Panarin,30,NYR,LW,75,32,0.29,0.99,1.28,0.42,0.24,2.36,21,71,92,31,115,45,49,0,21,49.9,52.9,-2.9,7.3,2.6,9.9,6,3,3,50,panarar01
96,Arthur Kaliyev,20,LAK,RW,80,11,0.18,0.16,0.34,0.14,0.46,2.43,14,12,26,11,51,15,39,0,-3,36.2,27.4,8.8,1.2,1.2,2.4,3,1,2,33.3,kaliyar01
97,Arttu Ruotsalainen,24,BUF,F,18,2,0.11,0.11,0.22,0.09,0.33,1.28,2,2,4,2,5,0,7,1,-1,6.4,7.6,-1.2,0,0.2,0.2,1,1,0,100,ruotsar01
98,Artturi Lehkonen,26,TOT,LW,74,15,0.26,0.26,0.51,0.21,0.3,2.09,19,18,37,15,50,8,60,19,1,42.8,35.6,7.2,2.4,1.3,3.7,0,,,,lehkoar01
99,Arvid Söderblom,22,CHI,G,3,0,0,0,0,0,0,0,0,0,0,0,6,1,13,3,0,5.6,5.8,,0,0,0.1,0,,,,soderar01
100,Austin Czarnik,29,TOT,C,17,2,0.12,0.29,0.41,0.14,0,0.82,2,5,7,2,12,1,7,1,5,6.2,5.8,0.4,0.4,0.4,0.8,0,,,,czarnau01
101,Austin Poganski,25,WPG,RW,16,0,0,0,0,0,0.44,0.56,0,0,0,0,4,0,7,0,-3,5.8,5.6,0.3,-0.4,0.1,-0.4,0,,,,poganau01
102,Austin Strand,24,LAK,D,8,1,0,0.25,0.25,0.07,0,1.13,0,2,2,1,4,0,7,2,-1,5.5,3.8,1.6,0,0.2,0.3,0,,,,stranau01
103,Austin Watson,30,OTT,LW,67,7,0.15,0.09,0.24,0.11,1.36,1.31,10,6,16,7,25,0,34,6,-3,20,30.7,-10.7,0.3,1,1.3,0,,,,watsoau01
104,Auston Matthews,24,TOR,C,73,45,0.82,0.63,1.45,0.61,0.25,4.77,58,44,102,44,147,46,81,0,20,74,46.1,27.9,11.7,2.1,13.8,4,2,2,50,matthau01
105,Axel Jonsson-Fjällby,23,WSH,LW,23,2,0.09,0.09,0.17,0.07,0.17,1.26,2,2,4,2,7,0,8,1,0,9.8,7.9,1.9,-0.1,0.3,0.2,0,,,,jonssax01
106,Barclay Goodrow,28,NYR,RW,79,12,0.16,0.25,0.42,0.16,0.87,1.47,13,19,32,12,56,1,60,18,13,38.5,47.6,-9,0.7,2.2,2.9,0,,,,goodrba01
107,Barrett Hayton,21,ARI,C,60,9,0.17,0.23,0.4,0.15,0.33,1.37,10,13,23,9,43,8,54,11,-8,30.6,36,-5.4,0.6,0.8,1.4,1,0,1,0,haytoba01
108,Beck Malenstyn,23,WSH,LW,12,1,0.08,0,0.08,0.05,0.75,0.83,1,0,1,1,5,0,4,1,2,3.4,2.5,0.9,-0.1,0.2,0.1,0,,,,malenbe01
109,Ben Chiarot,30,TOT,D,74,10,0.12,0.23,0.35,0.13,0.65,1.93,9,16,25,9,66,4,106,30,-14,62.1,64.3,-2.2,1.3,2,3.3,0,,,,chiarbe01
110,Ben Harpur,27,NSH,D,19,0,0,0.05,0.05,0.01,1.42,0.68,0,1,1,0,5,0,21,6,-10,7.4,9.4,-2,-0.2,-0.2,-0.4,0,,,,harpube01
111,Ben Hutton,28,VEG,D,58,4,0.05,0.17,0.22,0.08,0.55,1.34,3,9,12,4,40,0,39,6,7,36.9,32.6,4.3,0.5,2.3,2.7,0,,,,huttobe01
112,Ben Jones,22,VEG,F,2,0,0,0,0,0,1,0.5,0,0,0,0,1,0,1,0,0,0.6,1.1,-0.5,0,0,0,0,,,,jonesbe01
113,Ben McCartney,20,ARI,F,2,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,1,0,-0.1,0,0,0,,,,mccarbe02
114,Ben Meyers,23,COL,F,5,1,0.2,0,0.2,0.11,0,1.6,1,0,1,1,1,0,3,0,-2,2.3,2.6,-0.3,0.1,0,0,0,,,,meyerbe01
115,Benoit-Olivier Groulx,21,ANA,C,18,1,0.06,0.11,0.17,0.06,0.11,0.94,1,2,3,1,5,0,6,1,0,4.9,6.6,-1.7,-0.2,0.3,0.1,0,,,,groulbe01
116,Blake Coleman,30,CGY,C,81,13,0.2,0.21,0.41,0.16,0.74,2.62,15,16,31,13,52,0,44,8,16,51,38.9,12.1,1.4,1.8,3.2,0,,,,colembl01
117,Blake Comeau,35,DAL,RW,6,1,0.17,0,0.17,0.09,0.67,0.33,1,0,1,1,2,0,4,1,-1,2.1,1.1,0.9,0,0.1,0.1,0,,,,comeabl01
118,Blake Lizotte,24,LAK,C,70,9,0.14,0.2,0.34,0.13,0.4,1.3,10,13,23,9,40,0,34,9,15,32.4,26,6.4,1,1.6,2.6,0,,,,lizotbl01
119,Blake Speers,25,ARI,C,2,0,0,0,0,0,1,0.5,0,0,0,0,0,0,3,0,-3,0.6,1.7,-1.1,-0.1,-0.1,-0.1,0,,,,speerbl01
120,Blake Wheeler,35,WPG,RW,65,21,0.26,0.66,0.92,0.32,0.55,2.57,16,41,57,20,80,27,68,0,-15,48.5,49.2,-0.8,3.9,0.9,4.8,2,1,1,50,wheelbl01
121,Bo Horvat,26,VAN,C,70,23,0.44,0.3,0.74,0.32,0.57,2.77,30,20,50,22,95,43,64,15,3,44.8,43.3,1.5,4.3,1.7,6,4,3,1,75,horvabo01
122,Bobby Brink,20,PHI,RW,10,1,0,0.4,0.4,0.11,0,1.8,0,4,4,1,5,1,9,0,-5,4.8,6,-1.3,0,0,0,0,,,,brinkbo01
123,Bokondji Imama,25,ARI,LW,4,1,0.25,0,0.25,0.14,1.25,0.75,1,0,1,1,2,0,4,0,-2,0.8,1.9,-1,0.1,-0.1,0.1,0,,,,imamabo01
124,Boone Jenner,28,CBJ,C,59,18,0.39,0.36,0.75,0.31,0.37,2.71,22,20,42,17,76,23,80,16,-11,36.3,50.5,-14.2,3.1,0.8,3.9,1,0,1,0,jennebo01
125,Boris Katchouk,23,TOT,LW,59,3,0.05,0.07,0.12,0.05,0.66,0.98,3,4,7,3,13,0,23,3,-7,18.3,20.6,-2.3,-0.7,0.4,-0.3,0,,,,katchbo01
126,Bowen Byram,20,COL,D,30,6,0.17,0.4,0.57,0.2,0.4,1.63,5,11,16,6,32,1,25,1,7,24.7,20.7,4,1.4,1.4,2.9,0,,,,byrambo01
127,Brad Hunt,33,VAN,D,50,5,0.06,0.28,0.34,0.11,0.24,1.34,3,13,16,5,34,4,33,0,-3,29.6,32.3,-2.7,1,1.5,2.5,0,,,,huntbr01
128,Brad Malone,32,EDM,C/LW,8,1,0.13,0.13,0.25,0.1,0.25,0.88,1,1,2,1,2,0,6,2,-2,1.8,2.7,-0.9,0.1,0,0.1,0,,,,malonbr01
129,Brad Marchand,33,BOS,LW,70,30,0.46,0.69,1.14,0.43,1.39,3.46,31,46,77,29,104,39,64,15,16,58.1,32.8,25.2,7,2.3,9.3,0,,,,marchbr03
130,Brad Richardson,36,TOT,C,44,3,0.09,0.09,0.18,0.07,0.8,0.7,4,4,8,3,12,0,16,3,-1,13.1,19,-5.9,-0.1,0.4,0.4,0,,,,richabr02
131,Braden Holtby,32,DAL,G,24,0,0,0,0,0,0.08,0,0,0,0,0,55,17,61,14,0,41.1,46.1,,0,0,4.3,0,,,,holtbbr01
132,Braden Schneider,20,NYR,D,43,3,0.05,0.21,0.26,0.08,0.21,0.58,2,9,11,4,26,1,21,1,5,21.1,26.8,-5.7,0.4,2,2.5,0,,,,schnebr01
133,Brady Skjei,27,CAR,D,82,13,0.11,0.37,0.48,0.16,0.59,2.24,9,29,38,13,83,0,77,16,22,68.7,64,4.7,2.5,5.5,8,0,,,,skjeibr01
134,Brady Tkachuk,22,OTT,LW,79,27,0.38,0.47,0.85,0.34,1.48,3.65,29,35,64,25,105,37,75,0,-7,54.1,54.6,-0.5,5.4,1.8,7.1,3,0,3,0,tkachbr01
135,Brandon Baddock,26,MTL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,baddobr01
136,Brandon Biro,23,BUF,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,,,,birobr01
137,Brandon Carlo,25,BOS,D,79,6,0.08,0.11,0.19,0.07,0.39,1.58,6,9,15,6,52,1,71,22,2,57.9,48.6,9.4,0.1,3.8,3.9,0,,,,carlobr01
138,Brandon Duhaime,24,MIN,RW,80,6,0.08,0.14,0.21,0.08,1.53,1.14,6,10,16,6,30,0,36,4,-2,25.7,27.9,-2.2,0,0.5,0.4,0,,,,duhaibr01
139,Brandon Hagel,23,TOT,LW,77,18,0.32,0.25,0.57,0.24,0.4,1.62,24,18,42,18,71,18,80,9,-18,43.2,47.8,-4.5,3.1,1,4,0,,,,hagelbr01
140,Brandon Montour,27,FLA,D,81,13,0.14,0.32,0.46,0.16,0.59,1.89,11,25,36,13,87,13,66,7,15,71.8,53.5,18.3,2.8,2.7,5.5,0,,,,montobr01
141,Brandon Saad,29,STL,LW,78,19,0.31,0.32,0.63,0.25,0.13,2.03,23,24,47,19,83,25,54,7,11,43.6,46.3,-2.7,3.4,1.6,5,0,,,,saadbr01
