Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
1,A.J. Greer,25,NJD,LW,9,1,0.11,0.11,0.22,0.09,0.22,1.56,1,1,2,1,3,0,3,0,0,2.9,2,0.9,0.1,0.1,0.2,0,,,,greeraj01
2,Aaron Dell,32,BUF,G,12,0,0,0,0,0,0.17,0,0,0,0,0,25,4,38,12,0,14.8,25.2,,0,0,1.4,0,,,,dellaa01
3,Aaron Ekblad,25,FLA,D,61,19,0.25,0.69,0.93,0.32,0.43,2.95,15,40,55,19,125,35,72,20,38,59.3,41.6,17.7,5.1,4.5,9.5,0,,,,ekblaaa01
4,Adam Beckman,20,MIN,LW,3,0,0,0.33,0.33,0.09,0.67,1.33,0,1,1,0,2,1,2,0,-1,1,1.5,-0.5,0,0,0,0,,,,beckmad01
5,Adam Boqvist,21,CBJ,D,52,9,0.21,0.21,0.42,0.17,0.23,1.23,11,10,21,9,50,8,53,0,-11,32.4,39.4,-7,2.1,0.8,2.9,1,0,1,0,boqviad01
6,Adam Brooks,25,TOT,C,25,1,0.08,0.04,0.12,0.05,0.08,0.56,2,1,3,1,5,0,3,0,2,7.6,6.6,1,-0.1,0.3,0.2,0,,,,brookad01
7,Adam Erne,26,DET,LW,79,7,0.08,0.16,0.24,0.09,0.43,1.37,6,12,18,7,35,3,55,1,-22,34.8,46.3,-11.4,-0.5,0.5,-0.1,3,1,2,33.3,ernead01
8,Adam Fox,23,NYR,D,78,23,0.14,0.81,0.95,0.29,0.33,2.03,11,60,71,22,127,47,77,15,18,60.3,56.2,4.2,5.9,6,11.8,3,1,2,33.3,foxad01
9,Adam Gaudette,25,TOT,C,58,5,0.09,0.16,0.24,0.09,0.29,1.62,5,9,14,5,21,4,26,0,-9,21.1,28.4,-7.3,0,0.6,0.6,0,,,,gaudead01
10,Adam Henrique,31,ANA,C,58,17,0.33,0.4,0.72,0.28,0.24,2.43,18,22,40,16,71,19,54,0,-2,43.2,37.2,6,3.1,1.3,4.4,0,,,,henriad01
11,Adam Huska,24,NYR,G,1,0,0,0,0,0,0,0,0,0,0,0,3,1,7,1,,1.9,2.5,,0,0,-0.1,0,,,,huskaad01
12,Adam Larsson,29,SEA,D,82,9,0.1,0.21,0.3,0.11,0.67,1.45,8,16,24,9,67,1,121,32,-23,54.6,66.2,-11.6,0.9,2.6,3.5,0,,,,larssad01
13,Adam Lowry,28,WPG,LW,79,9,0.16,0.1,0.27,0.12,0.75,1.46,13,8,21,9,40,7,63,31,1,35.9,40.1,-4.2,-0.1,1.4,1.3,0,,,,lowryad01
14,Adam Pelech,27,NYI,D,78,9,0.04,0.32,0.36,0.11,0.54,1.33,3,24,27,8,73,0,72,19,20,63,63.4,-0.4,1,5.7,6.7,0,,,,pelecad01
