Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
918,Tomáš Hertl,25,SJS,C,77,29,0.45,0.51,0.96,0.38,0.23,2.29,35,39,74,30,113,34,90,15,5,57,48.1,8.9,6.7,1.6,8.3,2,0,2,0,hertlto01
919,Tomáš Hyka,25,VEG,RW,17,1,0.06,0.18,0.24,0.08,0.12,1.29,1,3,4,1,11,4,9,0,-2,8.6,6.7,1.9,0,0.2,0.1,0,,,,hykato01
920,Tomáš Nosek,26,VEG,C,68,7,0.12,0.13,0.25,0.1,0.26,1.71,8,9,17,7,28,1,47,10,-10,32.9,27.5,5.4,0.2,0.6,0.8,0,,,,nosekto01
921,Tomáš Plekanec,36,MTL,C,3,1,0.33,0,0.33,0.18,0,2.67,1,0,1,1,2,0,4,2,0,1.8,1.3,0.5,0.1,0,0.1,0,,,,plekato01
922,Tomáš Tatar,28,MTL,C,80,22,0.31,0.41,0.73,0.28,0.43,2.44,25,33,58,23,77,14,42,0,21,61.4,40.7,20.7,4.6,2.1,6.8,2,0,2,0,tatarto01
923,Tony DeAngelo,23,NYR,D,61,9,0.07,0.43,0.49,0.15,1.26,1.82,4,26,30,9,71,13,53,1,6,50.4,49,1.5,2,2.9,4.9,4,2,2,50,deangan01
924,Torey Krug,27,BOS,D,64,16,0.09,0.73,0.83,0.25,0.52,2.36,6,47,53,16,95,43,58,4,-2,47.6,41.9,5.7,4.2,2.8,7.1,1,0,1,0,krugto01
925,Travis Boyd,25,WSH,C,53,7,0.09,0.28,0.38,0.13,0.11,0.66,5,15,20,7,28,2,28,8,6,17.7,21.6,-3.9,1,0.7,1.7,0,,,,boydtr01
926,Travis Dermott,22,TOR,D,64,6,0.06,0.2,0.27,0.09,0.34,1.53,4,13,17,6,45,1,52,3,-5,47.7,39.3,8.3,0.8,1.3,2.1,0,,,,dermotr01
927,Travis Hamonic,28,CGY,D,69,7,0.1,0.17,0.28,0.1,0.48,1.86,7,12,19,7,82,1,81,21,21,58.4,49.9,8.6,0.8,3.8,4.7,0,,,,hamontr01
928,Travis Konecny,21,PHI,C,82,20,0.29,0.3,0.6,0.24,0.49,2.22,24,25,49,20,68,13,60,0,-4,44.7,49.6,-4.9,3.8,1.2,4.9,1,0,1,0,konectr01
929,Travis Sanheim,22,PHI,D,82,12,0.11,0.32,0.43,0.14,0.27,1.48,9,26,35,12,78,6,84,8,-4,61.3,58.2,3.1,2.4,2.9,5.3,0,,,,sanhetr01
930,Travis Zajac,33,NJD,C,80,18,0.24,0.34,0.58,0.22,0.25,1.5,19,27,46,18,74,22,99,22,-25,45.8,45.1,0.7,2.4,1.2,3.5,1,0,1,0,zajactr01
931,Trent Frederic,20,BOS,C,15,0,0,0,0,0,1,1.27,0,0,0,0,1,1,5,1,-4,3.4,5.4,-2,-0.4,0,-0.4,0,,,,fredetr01
932,Trevor Carrick,24,CAR,D,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,-1,0.3,0.3,0,0,0,-0.1,0,,,,carritr01
933,Trevor Daley,35,DET,D,44,3,0.05,0.14,0.18,0.06,0.27,1.07,2,6,8,3,33,0,52,16,-3,25.3,35.9,-10.6,0,1.6,1.6,0,,,,daleytr01
934,Trevor Lewis,32,LAK,C,44,4,0.07,0.2,0.27,0.09,0.2,1.98,3,9,12,4,18,0,36,9,-9,19.5,21.5,-2,-0.2,0.5,0.3,0,,,,lewistr01
935,Trevor Moore,23,TOR,LW,25,3,0.08,0.24,0.32,0.11,0.08,1.04,2,6,8,3,9,0,8,0,1,8.2,8.6,-0.3,0.4,0.2,0.6,0,,,,mooretr01
936,Trevor van Riemsdyk,27,CAR,D,78,5,0.04,0.14,0.18,0.06,0.13,1.31,3,11,14,5,39,0,56,13,-4,45.2,37.7,7.5,0.3,2.4,2.7,0,,,,vanritr01
937,Tristan Jarry,23,PIT,G,2,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,0,4.2,3.9,,0,0,0.2,0,,,,jarrytr01
938,Troy Brouwer,33,FLA,RW,75,9,0.16,0.12,0.28,0.12,0.63,1.15,12,9,21,9,32,1,49,12,-6,27.7,31.2,-3.5,0.6,0.9,1.5,0,,,,brouwtr01
939,Troy Stecher,24,VAN,D,78,7,0.03,0.27,0.29,0.09,0.41,1.35,2,21,23,7,61,3,58,9,9,52.3,59.5,-7.2,0.7,4.4,5.1,0,,,,stechtr01
940,Troy Terry,21,ANA,C/RW,32,5,0.13,0.28,0.41,0.15,0.06,0.78,4,9,13,5,27,11,8,0,8,13.7,15.6,-1.8,0.5,0.9,1.4,3,1,2,33.3,terrytr01
941,Tuukka Rask,31,BOS,G,46,1,0,0.04,0.04,0.01,0.09,0,0,2,2,1,134,29,108,21,0,93.2,79.3,,0,0,7.3,0,,,,rasktu01
942,Ty Rattie,25,EDM,RW,50,4,0.08,0.14,0.22,0.08,0.08,1.68,4,7,11,4,22,5,19,0,-2,21.6,20.3,1.3,-0.1,0.6,0.5,1,0,1,0,rattity01
943,Tyler Bertuzzi,23,DET,LW,73,18,0.29,0.36,0.64,0.25,0.49,1.79,21,26,47,19,75,14,49,0,11,43.5,49,-5.5,3.5,1.7,5.2,1,0,1,0,bertuty01
