Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
1,A.J. Greer,27,CGY,LW,59,5,0.1,0.1,0.2,0.08,0.59,0.97,6,6,12,5,16,1,24,2,-7,17,18.3,-1.3,0.3,0.3,0.6,0,,,,greeraj01
2,Aaron Ekblad,27,FLA,D,51,6,0.08,0.27,0.35,0.12,0.98,1.92,4,13,17,6,59,10,33,11,27,36.1,32.8,3.4,0.8,4.4,5.2,0,,,,ekblaaa01
3,Adam Beckman,22,MIN,LW,11,1,0,0.18,0.18,0.05,1.09,0.91,0,2,2,1,2,0,4,0,-2,2.7,4.1,-1.4,-0.1,0,0,0,,,,beckmad01
4,Adam Boqvist,23,CBJ,D,35,3,0.03,0.26,0.29,0.09,0,1.29,1,9,10,3,32,5,35,0,-8,26.7,29.5,-2.8,0.3,0.6,0.9,0,,,,boqviad01
5,Adam Edstrom,23,NYR,C,11,1,0.18,0,0.18,0.1,0.18,0.64,2,0,2,1,3,0,1,0,2,2.5,3.5,-1,0.1,0.2,0.3,0,,,,edstrad01
6,Adam Erne,28,EDM,LW,24,1,0.04,0.04,0.08,0.03,0.38,0.54,1,1,2,1,6,0,6,0,0,6.7,5.7,1,-0.2,0.2,0,0,,,,ernead01
7,Adam Fantilli,19,CBJ,C,49,11,0.24,0.31,0.55,0.22,0.33,2.35,12,14,26,10,36,5,52,0,-21,23.8,29.7,-5.9,1.7,0.1,1.7,0,,,,fantiad01
8,Adam Fox,25,NYR,D,72,24,0.24,0.78,1.01,0.34,0.5,1.9,17,54,71,24,122,51,61,11,21,57.9,47.4,10.5,6.6,5.3,11.9,0,,,,foxad01
9,Adam Gaudette,27,STL,C,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0.6,0.3,0.3,-0.1,0,0,0,,,,gaudead01
10,Adam Ginning,24,PHI,D,9,1,0.11,0,0.11,0.06,0,0.67,1,0,1,1,4,0,4,0,0,6.3,4.3,2,0,0.3,0.4,0,,,,ginniad01
11,Adam Henrique,33,TOT,C,82,20,0.29,0.33,0.62,0.25,0.45,1.71,24,26,50,20,78,22,69,22,9,42.3,44.6,-2.4,3.4,1.8,5.2,0,,,,henriad01
12,Adam Klapka,23,CGY,F,6,1,0.17,0,0.17,0.09,3.17,0.67,1,0,1,1,1,0,2,0,-1,1.1,1.6,-0.5,0.1,0,0.1,0,,,,klapkad01
13,Adam Larsson,31,SEA,D,81,6,0.05,0.17,0.22,0.07,0.68,1.6,4,14,18,6,67,1,93,33,6,55.8,60.7,-4.9,-0.2,5.3,5.1,0,,,,larssad01
14,Adam Lowry,30,WPG,LW,81,13,0.15,0.28,0.43,0.16,0.7,1.47,12,22,34,13,52,4,55,24,17,45.8,36.9,8.9,0.9,2,2.9,0,,,,lowryad01
15,Adam Pelech,29,NYI,D,58,5,0.02,0.26,0.28,0.08,0.47,1.22,1,14,15,4,45,0,71,24,-2,39.3,40.9,-1.6,0.2,2.1,2.3,0,,,,pelecad01
16,Adam Raška,22,MIN,RW,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9,0.9,0.1,-0.1,0,-0.1,0,,,,raskaad01
17,Adam Ružička,24,TOT,C,42,3,0.07,0.14,0.21,0.08,0.29,0.83,3,6,9,3,14,4,19,0,-9,10.5,16.1,-5.6,0,0.2,0.1,0,,,,ruzicad01
18,Adin Hill,27,VEG,G,35,0,0,0.03,0.03,0.01,0,0,0,1,1,0,102,19,89,12,0,66,67.3,,0,0,6.2,0,,,,hillad01
19,Adrian Kempe,27,LAK,LW,77,28,0.36,0.61,0.97,0.36,0.94,3.19,28,46,74,28,101,38,58,8,13,43.8,40.1,3.6,5.9,2.3,8.3,5,2,3,40,kempead01
20,Akil Thomas,24,LAK,C,7,2,0.43,0.14,0.57,0.27,0.29,1.29,3,1,4,2,4,0,4,0,0,2.5,2.3,0.1,0.5,0.1,0.6,0,,,,thomaak01
21,Akira Schmid,23,NJD,G,19,1,0,0.11,0.11,0.03,0.11,0,0,2,2,1,39,14,48,10,0,31.5,32.3,,0,0,2.2,0,,,,schmiak01
22,Akito Hirose,24,VAN,D,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.9,1.2,-0.2,0,0.1,0.1,0,,,,hirosak01
23,Aku Raty,22,ARI,RW,1,0,0,1,1,0.27,0,0,0,1,1,0,1,0,1,0,0,0.4,0.8,-0.4,0.1,0,0.1,0,,,,ratyak01
24,Alec Martinez,36,VEG,D,55,6,0.07,0.24,0.31,0.1,0.11,1.31,4,13,17,6,54,5,59,8,-2,38.8,43.1,-4.3,0.7,2,2.8,0,,,,martial01
25,Aleksander Barkov,28,FLA,C,73,28,0.32,0.78,1.1,0.38,0.33,2.64,22,55,77,27,115,41,53,12,33,46.9,33.7,13.2,6,2.9,9,3,2,1,66.7,barkoal01
