Rk,Player,Age,Tm,Pos,GP,GC,G/GP,A/GP,PTS/GP,GC/GP,PIM/GP,S/GP,Adj G,Adj A,Adj PTS,Adj GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,PlayerID
26,Alex Barré-Boulet,26,TBL,F,36,4,0.17,0.08,0.25,0.11,0.28,1.28,6,3,9,4,16,4,21,0,-9,15.3,17.6,-2.3,0.3,0.1,0.5,0,,,,barreal01
27,Alex DeBrincat,26,DET,RW,82,25,0.33,0.49,0.82,0.31,0.41,2.89,26,38,64,25,107,35,71,0,1,53.2,51.3,1.9,5,1.6,6.7,1,0,1,0,debrial01
28,Alex Goligoski,38,MIN,D,36,3,0,0.28,0.28,0.08,0.5,0.89,0,10,10,3,21,2,27,0,-8,16.1,22.2,-6.1,0.3,0.5,0.8,0,,,,goligal01
29,Alex Iafallo,30,WPG,C,82,10,0.13,0.2,0.33,0.13,0.07,1.46,11,16,27,10,59,15,45,15,14,37.6,34.6,3,0.2,1.8,2,0,,,,iafalal01
30,Alex Killorn,34,ANA,C/LW,63,14,0.29,0.29,0.57,0.23,0.86,2.3,18,18,36,15,55,13,68,11,-15,36.2,42,-5.8,1.9,0.8,2.7,2,0,2,0,killoal01
31,Alex Laferriere,22,LAK,RW,81,9,0.15,0.14,0.28,0.12,0.57,1.81,12,11,23,10,39,6,49,2,-14,38.4,39.9,-1.5,0.4,0.9,1.3,1,0,1,0,laferal01
32,Alex Lyon,31,DET,G,44,0,0,0.02,0.02,0.01,0.05,0,0,1,1,0,125,29,127,24,0,71.4,89.3,,0,0,7.7,0,,,,lyonal01
33,Alex Nedeljkovic,28,PIT,G,38,0,0,0,0,0,0,0,0,0,0,0,113,17,102,20,0,72.6,69.9,,0,0,5.8,0,,,,nedelal01
34,Alex Newhook,23,MTL,C,55,13,0.27,0.35,0.62,0.24,0.33,1.55,15,18,33,13,55,16,50,0,-11,29.1,35.7,-6.6,2.2,0.6,2.8,1,0,1,0,newhoal01
35,Alex Ovechkin,38,WSH,LW,79,26,0.39,0.43,0.82,0.33,0.25,3.44,30,33,63,25,102,47,77,0,-22,45.2,50.8,-5.6,5,1.2,6.3,7,0,7,0,ovechal01
36,Alex Pietrangelo,34,VEG,D,64,10,0.06,0.45,0.52,0.15,0.38,2.2,4,28,32,10,92,18,97,18,-5,54.6,54.5,0.1,1.7,2.8,4.5,0,,,,pietral01
37,Alex Steeves,24,TOR,F,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0.1,0.3,-0.1,0,0,-0.1,0,,,,steeval02
38,Alex Tuch,27,BUF,RW,75,22,0.29,0.49,0.79,0.3,0.72,2.56,21,36,57,21,93,25,72,13,9,51.7,48.5,3.2,4,2,6,2,1,1,50,tuchal01
39,Alex Turcotte,22,LAK,C,20,1,0.05,0.15,0.2,0.07,0.3,0.7,1,3,4,1,9,0,4,0,5,6.3,5.7,0.6,0,0.4,0.4,0,,,,turcoal02
40,Alex Vlasic,22,CHI,D,76,5,0.03,0.18,0.21,0.06,0.59,0.93,2,14,16,5,61,6,81,22,-4,50.9,55.7,-4.8,-0.3,4.5,4.2,0,,,,vlasial01
41,Alexandar Georgiev,27,COL,G,63,1,0,0.03,0.03,0.01,0.06,0,0,2,2,1,219,53,183,45,0,130.5,114.9,,0,0,9,0,,,,georgal01
42,Alexander Alexeyev,24,WSH,D,39,1,0.03,0.05,0.08,0.03,0.15,0.51,1,2,3,1,15,0,23,0,-8,16.1,18.1,-2.1,-0.3,0.8,0.5,0,,,,alexeal01
43,Alexander Barabanov,29,SJS,F,46,5,0.09,0.2,0.28,0.1,0.26,1.46,4,9,13,5,26,6,44,0,-24,22.8,29.1,-6.4,-0.4,0.2,-0.1,2,0,2,0,barabal01
44,Alexander Holtz,22,NJD,RW,82,12,0.2,0.15,0.34,0.15,0.17,1.49,16,12,28,12,39,7,47,0,-15,29.6,35.6,-6,1.7,0.6,2.3,0,,,,holtzal01
45,Alexander Kerfoot,29,ARI,C,82,16,0.16,0.39,0.55,0.19,0.32,1.26,13,31,44,16,67,18,97,33,-15,41.4,44.7,-3.3,1.7,1,2.7,0,,,,kerfoal01
46,Alexander Nylander,25,TOT,LW,28,7,0.39,0.14,0.54,0.25,0.21,2.57,11,4,15,7,28,5,24,0,-1,18.6,21.9,-3.4,1.3,0.4,1.7,0,,,,nylanal01
47,Alexander Petrovic,31,DAL,D,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,-1,0.1,1.7,-1.5,0,0,-0.1,0,,,,petroal01
48,Alexander Romanov,24,NYI,D,81,8,0.09,0.19,0.27,0.1,0.25,1.44,7,14,21,8,77,0,89,35,23,65,70.2,-5.2,0.7,4.8,5.6,0,,,,romanal01
49,Alexander Wennberg,29,TOT,C,79,11,0.13,0.25,0.38,0.14,0.18,1.14,10,20,30,11,73,22,74,23,0,39.9,42.1,-2.2,-0.1,2,1.9,0,,,,wennbal01
50,Alexandre Carrier,27,NSH,D,73,7,0.05,0.22,0.27,0.09,0.6,1.05,4,15,19,6,61,5,71,22,7,46.5,48.3,-1.8,0.6,3.2,3.8,0,,,,carrial01
51,Alexandre Texier,24,CBJ,C,78,11,0.15,0.23,0.38,0.15,0.49,1.4,12,17,29,11,50,3,72,20,-5,38.4,48.7,-10.3,0.8,1.1,1.9,3,2,1,66.7,texieal01
52,Alexey Toropchenko,24,STL,RW,82,9,0.17,0.09,0.26,0.11,0.37,1.39,14,7,21,10,29,1,37,6,-3,30.2,41.1,-10.9,0.5,1.2,1.8,0,,,,toropal01
53,Alexis Lafrenière,22,NYR,LW,82,23,0.34,0.35,0.7,0.28,0.49,2.65,27,28,55,22,87,9,76,0,2,69.1,54.1,14.9,4.3,1.8,6.1,3,1,2,33.3,lafreal01
54,Aliaksei Protas,23,WSH,C,78,9,0.08,0.29,0.37,0.12,0.1,1.45,6,22,28,9,48,3,52,4,-3,42.1,38.5,3.5,0.4,1.3,1.7,0,,,,protaal01
55,Anders Lee,33,NYI,LW,81,16,0.25,0.21,0.46,0.19,0.84,2.28,20,16,36,15,69,13,54,0,2,54.2,44.5,9.8,2.1,1.4,3.5,0,,,,leean01
56,André Burakovsky,28,SEA,LW,49,6,0.14,0.18,0.33,0.13,0.29,1.88,7,9,16,6,30,15,31,1,-15,22,22.8,-0.8,0.2,0.5,0.7,0,,,,burakan01
57,Andreas Athanasiou,29,CHI,C,28,3,0.07,0.25,0.32,0.11,0.25,1.57,2,7,9,3,14,2,19,0,-7,11.8,18.4,-6.6,0,0.3,0.4,0,,,,athanan01
58,Andreas Englund,28,LAK,D,82,3,0.01,0.11,0.12,0.04,0.99,0.5,1,9,10,3,39,0,50,8,-3,38.6,38.6,-0.1,-0.3,2.4,2.1,0,,,,engluan01
59,Andrei Kuzmenko,27,TOT,F,72,18,0.31,0.33,0.64,0.25,0.17,1.68,22,24,46,19,88,45,52,0,-9,38.5,33.5,5.1,3.6,0.8,4.4,0,,,,kuzmean01
60,Andrei Svechnikov,23,CAR,RW,59,19,0.32,0.56,0.88,0.32,0.98,2.44,19,32,51,19,76,29,34,0,13,37.7,35.1,2.6,4,1.8,5.8,5,0,5,0,svechan01
61,Andrei Vasilevskiy,29,TBL,G,52,1,0,0.04,0.04,0.01,0.04,0,0,2,2,1,179,44,148,25,0,101.4,99.4,,0,0,7.9,0,,,,vasilan02
62,Andrew Cogliano,36,COL,LW/C,75,7,0.08,0.17,0.25,0.09,0.21,0.81,6,13,19,7,29,0,43,25,11,22.4,20.5,1.9,0.2,1.1,1.3,0,,,,coglian01
63,Andrew Copp,29,DET,C,79,12,0.16,0.25,0.42,0.16,0.33,1.38,13,19,32,12,59,6,83,28,-2,35.7,40.3,-4.5,0.9,1.3,2.2,0,,,,coppan01
64,Andrew Mangiapane,27,CGY,LW,75,15,0.19,0.35,0.53,0.19,0.63,1.63,14,25,39,14,70,7,60,4,7,44.9,44.7,0.2,1.9,1.6,3.5,0,,,,mangian01
65,Andrew Peeke,25,TOT,D,38,3,0.03,0.24,0.26,0.08,0.37,0.97,1,9,10,3,27,0,37,9,-1,19,22.7,-3.7,0.3,1.2,1.5,0,,,,peekean01
66,Andrew Poturalski,30,SEA,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0.2,0.7,-0.5,0,0,-0.1,0,,,,poturan01
67,Angus Crookshank,24,OTT,LW,13,1,0.15,0.08,0.23,0.1,0.31,1.54,2,1,3,1,5,0,8,0,-3,3.3,5.1,-1.8,0.1,0,0.2,0,,,,crookan01
68,Anthony Beauvillier,26,TOT,LW,60,6,0.08,0.2,0.28,0.1,0.13,1.75,5,12,17,6,29,6,32,1,-8,30.2,31.5,-1.4,-0.1,0.7,0.6,0,,,,beauvan01
69,Anthony Cirelli,26,TBL,C,79,17,0.25,0.32,0.57,0.22,0.48,1.63,20,24,44,17,87,16,85,16,2,48.7,42.7,6,2.2,1.8,3.9,0,,,,cirelan01
70,Anthony Duclair,28,TOT,LW,73,18,0.33,0.25,0.58,0.25,0.47,1.77,24,18,42,18,71,22,58,1,-8,42,50.1,-8.1,3.2,1.4,4.6,0,,,,duclaan01
71,Anthony Mantha,29,TOT,RW,74,18,0.31,0.28,0.59,0.24,0.34,1.53,23,20,43,18,67,14,43,1,11,40.5,29.4,11.1,3.5,1.8,5.3,0,,,,manthan01
72,Anthony Richard,27,BOS,C,9,1,0.11,0.22,0.33,0.12,0.22,0.67,1,2,3,1,4,0,4,0,0,3.2,4.8,-1.5,0.1,0.1,0.2,0,,,,richaan01
73,Anthony Stolarz,30,FLA,G,27,1,0,0.07,0.07,0.02,0.07,0.04,0,2,2,1,83,21,51,15,0,49.7,46.6,,0,0,5.5,0,,,,stolaan01
74,Anton Blidh,28,NYR,LW,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,-1,0,0.3,-0.3,0,0,0,0,,,,blidhan01
75,Anton Forsberg,31,OTT,G,30,0,0,0.03,0.03,0.01,0.07,0,0,1,1,0,82,13,84,19,0,48.7,51.9,,0,0,3.4,0,,,,forsban01
76,Anton Lundell,22,FLA,C,78,13,0.17,0.28,0.45,0.17,0.59,2.13,13,21,34,13,56,7,36,6,19,39.1,34.4,4.7,1.3,2.2,3.5,5,1,4,20,lundean01
77,Antti Raanta,34,CAR,G,24,0,0,0,0,0,0,0,0,0,0,0,67,19,63,13,0,42.2,40.4,,0,0,1.3,0,,,,raantan01
78,Anže Kopitar,36,LAK,C,81,26,0.32,0.54,0.86,0.32,0.27,1.64,26,43,69,26,109,39,71,12,11,49.7,41.9,7.8,4.9,2.4,7.3,3,0,3,0,kopitan01
79,Arber Xhekaj,23,MTL,D,44,4,0.07,0.16,0.23,0.08,1.84,1.39,3,7,10,4,34,2,29,3,6,27.7,25.8,1.9,0.4,1.7,2.1,0,,,,xhekaar01
80,Arshdeep Bains,23,VAN,F,8,0,0,0,0,0,0.75,0.5,0,0,0,0,0,0,5,0,-5,1.9,4.4,-2.4,-0.3,-0.1,-0.3,0,,,,bainsar01
81,Artem Zub,28,OTT,D,69,8,0.07,0.29,0.36,0.12,0.46,1.23,5,19,24,8,64,0,88,29,5,51.7,47.3,4.4,1.1,3.4,4.5,0,,,,zubar01
82,Artemi Panarin,32,NYR,LW,82,46,0.6,0.87,1.46,0.56,0.29,3.7,48,68,116,45,150,59,73,0,18,72.1,54.3,17.8,11.7,2.7,14.3,7,4,3,57.1,panarar01
83,Arthur Kaliyev,22,LAK,RW,51,6,0.14,0.16,0.29,0.12,0.27,1.98,7,8,15,6,29,8,24,0,-3,24.2,18.7,5.5,0.5,0.7,1.1,1,1,0,100,kaliyar01
84,Artturi Lehkonen,28,COL,LW,45,13,0.36,0.4,0.76,0.3,0.31,2.29,16,18,34,14,64,18,42,7,11,31.5,22.3,9.3,2.5,1.1,3.6,0,,,,lehkoar01
85,Arturs Silovs,22,VAN,G,4,0,0,0,0,0,0,0,0,0,0,0,12,6,10,3,0,7.8,4.1,,0,0,0.3,0,,,,silovar01
86,Arvid Söderblom,24,CHI,G,32,0,0,0,0,0,0,0,0,0,0,0,68,14,114,24,0,50.5,68.9,,0,0,3.1,0,,,,soderar01
87,Austin Czarnik,31,DET,C,34,0,0,0.03,0.03,0.01,0.35,0.71,0,1,1,0,8,0,11,0,-3,7.9,10.9,-2.9,-0.7,0.2,-0.5,0,,,,czarnau01
88,Austin Watson,32,TBL,LW,33,2,0.06,0.06,0.12,0.05,2.82,0.52,2,2,4,2,7,0,5,0,2,5.2,7.4,-2.2,-0.1,0.3,0.3,0,,,,watsoau01
89,Auston Matthews,26,TOR,C,81,48,0.85,0.47,1.32,0.6,0.25,4.56,68,37,105,47,154,48,78,3,31,76.3,48.4,27.9,12.6,2.5,15.1,7,2,5,28.6,matthau01
90,Axel Jonsson-Fjällby,25,WPG,LW,26,2,0.08,0.12,0.19,0.07,0,0.88,2,3,5,2,8,0,3,1,6,6.7,5.3,1.4,0.1,0.4,0.5,0,,,,jonssax01
91,Barclay Goodrow,30,NYR,RW,80,4,0.05,0.1,0.15,0.05,0.98,0.76,4,8,12,4,27,1,59,20,-13,23.4,38.4,-15,-1.2,0.7,-0.5,0,,,,goodrba01
92,Barrett Hayton,23,ARI,C,33,4,0.09,0.21,0.3,0.11,0.79,2,3,7,10,4,33,15,37,6,-13,19.3,18.4,0.9,-0.3,0.2,-0.1,0,,,,haytoba01
93,Beck Malenstyn,25,WSH,LW,81,7,0.07,0.19,0.26,0.09,0.31,1.21,6,14,20,7,37,0,66,28,-1,27.2,39.6,-12.4,-0.6,1.5,0.9,0,,,,malenbe01
94,Ben Chiarot,32,DET,D,77,7,0.06,0.19,0.26,0.09,0.73,1.39,5,14,19,7,72,0,103,27,-4,49.2,60.5,-11.3,0.6,2.7,3.2,0,,,,chiarbe01
95,Ben Hutton,30,VEG,D,41,3,0.05,0.2,0.24,0.08,0.41,1.63,2,8,10,3,37,5,23,3,12,26.9,21.3,5.6,0.3,2.3,2.6,0,,,,huttobe01
96,Ben Meyers,25,TOT,F,23,1,0.04,0.09,0.13,0.05,0.26,0.52,1,2,3,1,6,0,12,2,-4,4.9,6.4,-1.5,-0.3,0.1,-0.2,0,,,,meyerbe01
97,Benoit-Olivier Groulx,23,ANA,C,45,1,0,0.04,0.04,0.01,0.49,0.71,0,2,2,1,7,1,26,11,-9,13.2,20.6,-7.4,-1.3,0.3,-1,0,,,,groulbe01
98,Blake Coleman,32,CGY,C,78,23,0.38,0.31,0.69,0.29,0.97,2.45,30,23,53,23,75,5,62,11,19,51,46.2,4.9,4.4,2.2,6.6,0,,,,colembl01
99,Blake Lizotte,26,LAK,C,62,6,0.11,0.13,0.24,0.1,0.32,1.23,7,8,15,6,28,1,22,6,11,21.1,24.4,-3.3,0.1,1.3,1.4,0,,,,lizotbl01
100,Blake Wheeler,37,NYR,RW,54,8,0.17,0.22,0.39,0.15,0.43,1.54,9,12,21,8,33,2,29,0,2,25.9,26.4,-0.5,1,0.9,1.9,0,,,,wheelbl01
101,Bo Horvat,28,NYI,C,81,27,0.41,0.43,0.84,0.34,0.48,3.06,32,34,66,27,114,38,90,13,-1,65,54.8,10.2,5.4,1.7,7.1,5,2,3,40,horvabo01
102,Bobby Brink,22,PHI,RW,57,9,0.19,0.21,0.4,0.17,0.18,1.42,11,12,23,9,36,7,28,0,1,26.5,25.6,0.9,1.2,1.1,2.3,4,1,3,25,brinkbo01
103,Bobby McMann,27,TOR,F,56,11,0.27,0.16,0.43,0.19,0.93,2.11,15,9,24,11,34,2,22,3,13,22.7,23.2,-0.4,2,1,3,0,,,,mcmanbo02
104,Bokondji Imama,27,OTT,LW,6,0,0,0,0,0,1.17,0.17,0,0,0,0,1,0,0,0,1,0.4,0.6,-0.2,-0.1,0.1,0,0,,,,imamabo01
105,Boone Jenner,30,CBJ,C,58,16,0.38,0.22,0.6,0.27,0.48,2.67,21,12,33,15,61,11,68,10,-8,39.7,41.4,-1.8,2.3,1,3.3,0,,,,jennebo01
106,Boris Katchouk,25,TOT,LW,59,5,0.12,0.1,0.22,0.09,0.2,1.19,7,6,13,5,18,0,32,8,-6,24.2,24.9,-0.7,0.1,0.8,0.8,0,,,,katchbo01
107,Bowen Byram,22,TOT,D,73,11,0.15,0.25,0.4,0.15,0.73,1.15,11,18,29,11,70,3,72,5,0,58,61.3,-3.2,2,2.5,4.6,0,,,,byrambo01
108,Brad Lambert,20,WPG,C,1,0,0,1,1,0.27,0,2,0,1,1,0,1,0,0,0,1,0.2,0.2,0,0.1,0.1,0.1,0,,,,lambebr01
109,Brad Marchand,35,BOS,LW,82,26,0.35,0.46,0.82,0.32,0.95,2.52,28,37,65,25,105,38,78,13,2,46.9,47.9,-1,5,1.8,6.8,2,1,1,50,marchbr03
110,Braden Schneider,22,NYR,D,82,6,0.06,0.17,0.23,0.08,0.2,1.16,5,13,18,6,61,0,68,6,-1,49.3,51.1,-1.7,0.7,2.9,3.6,0,,,,schnebr01
111,Bradly Nadeau,18,CAR,LW,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,-3,0.6,0.6,0,-0.1,-0.1,-0.1,0,,,,nadeabr01
112,Brady Skjei,29,CAR,D,80,16,0.16,0.43,0.59,0.2,0.5,2.31,13,33,46,16,90,19,71,15,15,58.3,55.4,2.9,3.6,5.2,8.8,1,0,1,0,skjeibr01
113,Brady Tkachuk,24,OTT,LW,81,30,0.46,0.46,0.91,0.37,1.65,4.41,36,36,72,29,105,33,71,0,1,66.8,49.2,17.6,6.5,1.8,8.2,2,1,1,50,tkachbr01
114,Brandon Biro,25,BUF,F,5,1,0.4,0,0.4,0.22,0,0.4,2,0,2,1,3,0,3,0,0,1.2,2.3,-1.1,0.2,0.1,0.3,0,,,,birobr01
115,Brandon Carlo,27,BOS,D,76,5,0.05,0.13,0.18,0.06,0.55,1.04,4,10,14,5,69,0,74,28,23,49.2,56.3,-7.1,-0.1,4.8,4.7,0,,,,carlobr01
116,Brandon Duhaime,26,TOT,RW,80,5,0.06,0.1,0.16,0.06,0.88,1.15,5,8,13,5,29,0,55,21,-5,24.5,30,-5.5,-0.7,0.8,0.1,0,,,,duhaibr01
117,Brandon Gignac,26,MTL,C,7,1,0.14,0,0.14,0.08,0,1,1,0,1,1,1,0,5,1,-3,1.5,3.8,-2.2,0,0,0,0,,,,gignabr01
118,Brandon Hagel,25,TBL,LW,82,27,0.32,0.6,0.91,0.33,0.96,2.24,25,47,72,26,106,16,102,13,1,64.7,52.4,12.3,5.3,1.8,7.2,1,0,1,0,hagelbr01
119,Brandon Montour,29,FLA,D,66,11,0.12,0.38,0.5,0.17,0.7,2.55,8,24,32,11,95,41,56,3,1,51.6,45.8,5.8,2.1,3.5,5.6,0,,,,montobr01
120,Brandon Saad,31,STL,LW,82,18,0.32,0.2,0.51,0.22,0.24,1.76,25,15,40,18,64,11,58,1,-4,43.3,53.3,-10,3,1.5,4.6,0,,,,saadbr01
121,Brandon Scanlin,24,NYR,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,,,,scanlbr01
122,Brandon Tanev,32,SEA,LW,66,6,0.11,0.14,0.24,0.09,0.77,1.11,7,9,16,6,27,0,45,20,2,24.6,30.6,-6,-0.5,1.5,1,0,,,,tanevbr01
123,Brandt Clarke,20,LAK,D,16,2,0.13,0.25,0.38,0.14,0.63,1.94,2,4,6,2,9,4,11,0,-6,8.6,7.4,1.2,0.5,0.1,0.6,0,,,,clarkbr02
124,Brayden McNabb,33,VEG,D,82,8,0.05,0.27,0.32,0.1,0.45,1.05,4,21,25,8,74,1,78,23,18,58.3,53.1,5.1,0.9,4.6,5.5,0,,,,mcnabbr01
125,Brayden Pachal,24,TOT,D,50,2,0.04,0.1,0.14,0.05,1.02,1.04,2,5,7,2,25,0,36,8,-3,23.2,27.1,-3.9,0,1.3,1.3,0,,,,pachabr01
126,Brayden Point,27,TBL,C,81,37,0.57,0.54,1.11,0.45,0.17,2.8,45,42,87,36,142,57,101,0,-16,71.2,56.3,14.8,8.5,1.3,9.8,4,2,2,50,pointbr01
127,Brayden Schenn,32,STL,C,82,18,0.24,0.32,0.56,0.22,0.68,2.07,20,25,45,18,82,23,89,8,-22,46.8,51.6,-4.8,2.3,1.1,3.4,7,3,4,42.9,schenbr01
128,Brendan Brisson,22,VEG,C,15,3,0.13,0.4,0.53,0.18,0.13,1.33,2,6,8,3,12,2,15,0,-5,6.9,6.6,0.3,0.4,0,0.5,0,,,,brissbr01
129,Brendan Gallagher,31,MTL,RW,77,13,0.21,0.19,0.4,0.17,0.96,2,16,14,30,13,39,5,58,0,-24,41.9,41.2,0.7,1.7,0.3,2,1,0,1,0,gallabr01
130,Brendan Gaunce,29,CBJ,C,24,2,0.08,0.08,0.17,0.07,0.25,1,2,2,4,2,6,0,16,3,-7,7.8,13.1,-5.4,-0.2,0,-0.1,0,,,,gauncbr01
131,Brendan Lemieux,27,CAR,LW,32,2,0.09,0.06,0.16,0.07,2,0.91,3,2,5,2,11,0,11,0,0,9.3,12.2,-2.9,0.1,0.3,0.4,0,,,,lemiebr01
132,Brendan Smith,34,NJD,D,63,6,0.08,0.16,0.24,0.09,0.97,0.95,5,10,15,5,47,0,64,14,-3,30,34.4,-4.5,0.7,1.8,2.6,0,,,,smithbr05
133,Brenden Dillon,33,WPG,D,77,8,0.1,0.16,0.26,0.1,1.19,1.03,8,12,20,8,65,0,63,18,20,47.4,52.6,-5.2,0.9,4.3,5.2,0,,,,dillobr01
134,Brennan Othmann,21,NYR,LW,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.7,0.8,-0.1,-0.1,0,0,0,,,,othmabr01
135,Brent Burns,38,CAR,D/RW,82,14,0.12,0.4,0.52,0.17,0.24,2.26,10,32,42,14,120,39,80,18,19,60.4,45.4,15,2.9,5.6,8.5,2,0,2,0,burnsbr01
136,Brett Howden,25,VEG,C,72,7,0.11,0.15,0.26,0.1,0.54,1.06,8,11,19,7,38,1,58,10,-11,32.8,38.1,-5.3,-0.1,0.7,0.6,0,,,,howdebr01
137,Brett Kulak,30,EDM,D,82,5,0.04,0.16,0.2,0.06,0.37,1.15,3,13,16,5,47,2,53,8,0,52.3,41.3,11,0.3,2.3,2.6,0,,,,kulakbr01
138,Brett Leason,24,ANA,RW,68,9,0.16,0.16,0.32,0.13,0.21,1.34,11,11,22,9,26,1,58,26,-7,20.7,29.8,-9.1,0.7,0.7,1.4,0,,,,leasobr01
139,Brett Murray,25,BUF,LW,2,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0,-1,0.4,0.2,0.3,0,0,-0.1,0,,,,murrabr02
