Rk,Player,Tm,Pos,Shift,GP,,TOI (EV),CF% Rel (EV),GF/60 (EV),GA/60 (EV),,TOI (PP),CF% Rel (PP),GF/60 (PP),GA/60 (PP),,TOI (SH),CF% Rel (SH),GF/60 (SH),GA/60 (SH),PlayerID
179,Christian Dvorak,ARI,C,0:39,78,,13:19,0.9,2.6,3.4,,1:48,-4.6,5.9,1.7,,1:17,0.8,0,9.3,dvorach01
180,Christian Fischer,ARI,RW,0:35,79,,11:43,1,2.2,2.9,,2:09,1.9,6.5,1.7,,0:01,-11.6,0,0,fischch01
181,Christian Folin,LAK,D,0:36,65,,14:31,-0.8,2.2,2.3,,0:03,-61,0,0,,1:04,1.9,1.6,4.1,folinch01
182,Christián Jaroš,OTT,D,0:26,2,,7:58,1.2,0,0,,0:00,,,,,0:00,,,,jarosch01
183,Christian Wolanin,OTT,D,0:54,10,,13:10,5.4,2.3,4.1,,1:24,2,4.3,0,,0:04,,0,0,wolanch01
184,Christoph Bertschy,MIN,C,0:32,1,,5:20,-16.9,11.3,0,,0:03,,0,0,,0:00,,,,bertsch02
185,Christopher DiDomenico,OTT,C,0:44,24,,10:16,0.9,2.7,3.2,,1:31,-2.8,8.2,3.3,,0:00,,,,didomch01
186,Claude Giroux,PHI,LW,0:39,82,,16:05,5.6,4.1,2.6,,3:28,6.6,10.9,1.1,,0:47,8.3,0,6.3,giroucl01
187,Clayton Keller,ARI,C,0:41,82,,14:56,1.7,2.8,3,,3:00,7.6,6.7,1.2,,0:08,26.7,3.8,3.8,kellecl01
188,Cody Ceci,OTT,D,0:49,82,,19:56,-6.1,2.3,3.3,,0:38,-2.1,9.2,1.1,,2:46,-9.8,0.5,7.7,cecico01
189,Cody Eakin,VEG,C,0:41,80,,12:27,-4.7,2.2,2.9,,0:28,0.5,0,0,,1:36,3,2.1,7.7,eakinco01
190,Cody Franson,CHI,D,0:30,23,,14:23,9.2,1.8,1.8,,2:10,0.5,8.4,1.2,,0:03,21.8,0,0,fransco01
191,Cody McLeod,TOT,LW,0:19,48,,7:22,-10.1,1.9,1.9,,0:00,,0,0,,0:00,,0,0,mcleoco01
192,Colby Cave,BOS,C,0:31,3,,10:18,-0.2,0,0,,0:00,,,,,1:09,20.2,0,0,caveco01
193,Colin Miller,VEG,D,0:48,82,,15:54,7.3,2.7,2.6,,2:26,-0.8,6.9,0.9,,0:58,9.8,0.6,6.5,milleco02
194,Colin White,OTT,C,0:23,21,,12:38,-2.1,2.7,2.3,,0:39,2.7,4.3,4.3,,0:02,8.2,0,0,whiteco02
195,Colin Wilson,COL,C,0:48,56,,11:05,0.2,1.8,2.1,,2:00,2.3,4.6,1,,0:01,-9.1,0,0,wilsoco01
196,Colton Parayko,STL,D,0:45,82,,18:46,2,2.4,2.6,,1:56,-0.5,4.9,0.8,,1:54,0.5,0.4,6.6,parayco01
197,Colton Sceviour,FLA,C/RW,0:48,76,,11:02,-3.8,2.3,2.2,,0:03,-1,0,0,,2:20,-2.1,1.4,7.8,scevico01
198,Colton Sissons,NSH,C,0:41,81,,11:50,-1.4,2.2,2.4,,1:56,2.5,8.8,0.4,,2:18,-4.6,1.6,9.3,sissoco01
199,Connor Brickley,FLA,C,0:38,44,,10:55,-3.6,1.9,2.7,,0:05,-8.7,0,0,,0:52,-0.6,0,7.8,brickco01
200,Connor Brown,TOR,RW,0:28,82,,12:00,-1.3,2.9,2.9,,1:10,-1.1,4.3,0.6,,1:49,-2,0.4,7.8,brownco02
201,Connor Carrick,TOR,D,0:43,47,,14:47,3.2,2.7,2.3,,0:18,7.3,6.5,0,,0:01,-11.8,0,0,carrico01
202,Connor McDavid,EDM,C,0:58,82,,17:29,3.8,4,3.2,,2:57,1.3,5.3,1,,1:05,5.8,3,6.1,mcdavco01
203,Connor Murphy,CHI,D,0:28,76,,15:09,1.2,2.3,2.4,,0:05,-20.8,0,0,,1:07,-0.9,0.7,7,murphco02
204,Conor Sheary,PIT,LW,0:45,79,,12:44,-0.3,2.8,2.7,,1:11,-1.8,4.9,0,,0:00,-11.9,0,52.2,shearco01
205,Corey Perry,ANA,RW,0:47,71,,15:05,-0.2,3.1,3.3,,2:39,4.1,7.3,0.6,,0:01,-15.4,0,0,perryco01
206,Cory Conacher,TBL,LW,0:45,36,,9:34,-2.2,2.1,2.1,,0:24,-7.8,3.8,0,,0:00,,0,0,conacco01
207,Craig Smith,NSH,C,0:49,79,,13:01,8.3,3.1,1.9,,2:20,-1.5,8.8,0.7,,0:00,20.9,0,0,smithcr01
208,Curtis Lazar,CGY,C/RW,0:41,65,,9:20,-3.1,1.8,2.6,,0:04,-30.5,0,0,,0:26,3.6,0,2.2,lazarcu01
209,Curtis McKenzie,DAL,LW,0:33,7,,7:28,0.7,3.4,0,,0:37,21.4,0,0,,0:00,,,,mckencu01
210,Curtis Valk,FLA,LW,0:38,1,,3:25,3.2,0,0,,0:00,,,,,0:00,,,,valkcu01
211,Dakota Mermis,ARI,D,0:45,9,,10:52,0.3,1.2,2.5,,0:06,-9.1,0,0,,0:00,-10.8,0,0,mermida01
212,Dale Weise,PHI,RW,0:45,46,,10:10,-4.4,1.2,2.1,,0:22,0.9,3.4,0,,0:01,-13.5,0,57.1,weiseda01
213,Dalton Prout,NJD,D,0:43,4,,13:22,4.7,3.4,5.6,,0:01,,,,,0:36,17.2,0,0,proutda01
214,Damon Severson,NJD,D,1:00,76,,17:40,2.1,2.7,3.1,,1:37,1.1,4.3,0,,0:22,3,0,7.5,severda01
215,Dan Girardi,TBL,D,0:45,77,,14:49,-4,3.1,2.3,,0:04,-40.3,7.8,0,,2:29,2.9,0.9,10.7,girarda01
216,Dan Hamhuis,DAL,D,0:34,80,,17:10,-1.2,2.5,2.7,,0:20,3.2,4.4,4.4,,2:40,-0.8,0.8,8.2,hamhuda01
217,Danick Martel,PHI,LW,0:39,4,,10:13,-6.1,1.5,2.9,,0:00,,,,,0:00,,,,marteda01
218,Daniel Brickley,LAK,D,0:59,1,,10:48,6,5.6,0,,0:00,,,,,0:00,,,,brickda01
219,Daniel Carr,MTL,LW,1:03,38,,11:00,-0.9,2.5,2.2,,1:07,-4.1,6.5,0,,0:00,,0,0,carrda01
220,Daniel Catenacci,NYR,C,0:52,1,,11:03,-16.5,0,5.4,,0:00,,,,,0:00,,,,catenda01
221,Daniel Sedin,VAN,LW,0:45,81,,12:22,7.3,2.3,3.2,,2:53,-2,8.4,1.5,,0:00,-15.8,0,63.2,sedinda01
222,Daniel Sprong,PIT,RW,0:37,8,,12:46,10.9,2.9,1.8,,1:11,-5.1,0,0,,0:01,-7.5,0,0,spronda01
223,Daniel Winnik,MIN,C/LW,0:37,81,,11:41,-3.1,2.5,2.3,,0:03,-16,13.1,0,,1:48,-7.3,0.4,6.6,winnida01
224,Danny DeKeyser,DET,D,0:41,65,,17:57,0.8,2.4,2.4,,0:09,-4.7,0,0,,2:12,-1.7,1.3,9.2,dekeyda01
225,Danny O'Regan,TOT,C,0:47,21,,9:07,-10.2,7.2,3.6,,0:38,-27.8,0,0,,0:11,,,,oregada01
226,Danton Heinen,BOS,C/LW,0:30,77,,12:43,1.9,3,2,,2:00,-4.6,7.1,2.6,,0:17,3,2.8,2.8,heineda01
227,Darnell Nurse,EDM,D,0:44,82,,19:32,0,2.9,2.4,,0:28,-2.5,1.3,0,,2:13,-2.2,0.6,7.3,nurseda01
228,Darren Archibald,VAN,RW,0:40,27,,12:01,-7.5,1.7,2.2,,0:02,,0,0,,2:47,-3.8,0.8,8,archida02
229,Darren Helm,DET,C/LW,0:42,75,,13:25,-3,2.1,2.3,,0:07,-10.6,6.3,0,,2:00,-1.5,2.4,8.7,helmda01
230,David Backes,BOS,C,0:38,57,,13:13,2.6,2.7,2.5,,1:57,-4.4,6.6,1,,0:12,38.4,4.9,0,backeda01
231,David Booth,DET,LW,0:40,28,,6:48,-9.3,1.3,2.8,,0:07,9,18.2,0,,0:02,-12.9,0,0,boothda01
232,David Desharnais,NYR,C,0:37,71,,11:37,-2.9,2.1,3.6,,1:25,-2.2,5.9,0.6,,0:00,,,,deshada01
233,David Kämpf,CHI,C,0:37,46,,11:14,-0.5,1.7,2.9,,0:04,-3.2,0,0,,1:28,3.2,0.9,8.8,kampfda01
234,David Krejčí,BOS,C,0:55,64,,14:23,1.4,3.6,2.9,,2:13,-1.8,8.4,0.8,,0:15,3.2,3.8,7.7,krejcda01
235,David Pastrňák,BOS,RW,0:53,82,,14:51,3.1,3.5,2.7,,3:05,3.5,10.2,1.6,,0:00,,0,0,pastrda01
236,David Perron,VEG,LW,0:43,70,,15:04,-1.7,3.5,3.3,,2:31,-4.4,9.1,1.3,,0:12,8.9,0,2.3,perroda01
237,David Savard,CBJ,D,0:39,81,,16:59,-3.4,2.9,2.8,,0:10,-20.5,8,4,,2:12,-2.8,0.6,9.4,savarda01
238,David Schlemko,MTL,D,0:40,37,,15:53,-2.2,2.5,2.2,,1:02,-6.6,6.7,0,,1:08,0.7,0,11.4,schleda01
239,David Warsofsky,COL,D,0:44,16,,12:31,2.8,2.7,1.5,,0:03,,0,0,,0:48,-1.2,0,9.2,warsoda01
240,Dean Kukan,CBJ,D,0:44,11,,12:02,1.4,4.1,3.2,,0:05,6.4,0,0,,0:13,11.7,0,0,kukande01
241,Denis Malgin,FLA,C,0:39,51,,12:36,2.2,2.7,2.3,,1:13,-2.6,9.6,0.9,,0:00,85.2,0,0,malgide01
242,Dennis Rasmussen,ANA,C,0:39,27,,7:45,-2.4,2.3,1.4,,0:03,-89.7,0,0,,1:06,10,2,2,rasmude01
243,Dennis Seidenberg,NYI,D,0:38,28,,15:25,-7.5,2.6,3.9,,0:02,-88.4,0,0,,2:24,-4.1,0,9.8,seidede01
244,Derek Dorsett,VAN,RW,0:41,20,,12:30,-8,1.9,2.6,,0:04,,0,0,,2:42,5.5,2.2,8.9,dorsede01
245,Derek Forbort,LAK,D,0:36,78,,17:58,-0.3,2.7,2.1,,0:07,-17.5,0,0,,2:42,-4.7,0.6,5.9,forbode01
246,Derek Grant,ANA,C,0:34,66,,9:39,-1,2.6,2.3,,0:37,-2.3,4.2,0,,0:48,-7.6,0,6.7,grantde01
247,Derek MacKenzie,FLA,C,0:43,75,,8:58,-3.5,1.4,2.7,,0:02,-21.9,0,0,,2:18,-5.1,1.8,10.2,mackede01
248,Derek Ryan,CAR,C,0:42,80,,13:12,3.2,2.6,3.2,,2:01,-1.5,5.9,1.1,,0:22,3.2,0,6.1,ryande01
249,Derek Stepan,ARI,C,0:38,82,,15:29,2.1,2.8,3,,2:36,2.4,6.9,1.7,,1:11,2.4,1.2,7.1,stepade01
250,Derick Brassard,TOT,C,0:48,72,,15:06,5.6,3.6,3.6,,2:31,-0.7,6.2,0.4,,0:06,10.7,0,0,brassde01
251,Derrick Pouliot,VAN,D,0:38,71,,16:03,3.7,2.1,3.1,,1:34,1.6,7.4,1.6,,0:13,8,4.1,4.1,poulide01
252,Deryk Engelland,VEG,D,0:44,79,,17:14,-4.8,2.8,2.9,,0:04,-10.1,0,0,,2:57,-4.2,1.5,5.6,engelde01
253,Devante Smith-Pelly,WSH,RW,0:36,75,,11:20,-4.7,2,2.4,,0:01,,0,0,,0:58,-4.6,0,5.8,smithde06
254,Devin Shore,DAL,C,0:37,82,,12:10,-3.5,1.4,3.1,,1:49,-0.9,8.8,0.8,,1:25,-1.4,1.6,7.8,shorede01
255,Dillon Heatherington,DAL,D,0:40,6,,10:16,-4.6,3.9,1,,0:00,,,,,0:34,12.5,0,0,heathdi01
256,Dion Phaneuf,TOT,D,0:43,79,,16:31,-4.3,1.2,2.1,,1:57,6.8,11.7,1.1,,1:30,6.7,0,5.5,phanedi01
257,Dmitrij Jaškin,STL,RW,0:39,76,,11:55,1.2,2.3,1.9,,0:28,-5.2,1.7,0,,0:02,19.1,0,21.7,jaskidm01
258,Dmitry Kulikov,WPG,D,0:48,62,,14:29,-1.5,2.6,2.3,,0:03,-27,14.1,0,,2:31,-1.5,0.8,6.1,kulikdm01
259,Dmitry Orlov,WSH,D,0:44,82,,19:59,2.4,2.9,2.5,,1:10,-4.3,5.6,1.3,,1:58,5.9,0.4,6.3,orlovdm01
260,Dominic Moore,TOR,C,0:32,50,,9:01,-0.7,2.4,2.1,,0:03,-87.7,0,0,,1:13,-0.7,1,8.8,mooredo01
261,Dominic Toninato,COL,C,0:29,37,,7:39,1,1.5,1.5,,0:02,-87.1,0,0,,0:12,-2.4,0,8,tonindo01
262,Dominic Turgeon,DET,C,0:40,5,,7:17,-14,0,3.3,,0:02,,0,0,,1:54,-7.7,0,6.3,turgedo01
263,Dominik Simon,PIT,C,0:27,33,,10:53,2.3,3.4,3,,0:31,-10.4,2.6,0,,0:00,-12,0,0,simondo01
264,Dougie Hamilton,CGY,D,0:52,82,,18:21,6.7,3,2.8,,2:39,-1.7,4.3,0.5,,0:30,15,1.5,7.5,hamildo01
265,Drake Caggiula,EDM,LW,0:48,67,,11:50,-3.6,2.1,3.2,,0:58,3.6,7.3,0,,0:44,0.1,1.1,12.2,caggidr01
266,Drew Doughty,LAK,D,0:34,82,,20:55,5.4,3.3,2.5,,3:09,5,8.4,0.2,,2:45,-3,0.8,4.2,doughdr01
267,Drew Stafford,NJD,RW,1:01,59,,11:55,-0.1,1.7,3.3,,1:54,7.1,5.3,0.5,,0:01,18.4,0,0,staffdr01
268,Dryden Hunt,FLA,LW,0:43,11,,10:28,-3.3,0,2.6,,0:04,,,,,0:00,-16,0,600,huntdr01
269,Duncan Keith,CHI,D,0:38,82,,18:48,-0.3,2.3,3.3,,2:35,-0.3,3.9,1.1,,2:25,-0.7,0.3,8.4,keithdu01
270,Duncan Siemens,COL,D,0:51,16,,9:42,4.4,1.5,3.5,,0:00,,,,,2:36,0.2,0,1.4,siemedu01
271,Dustin Brown,LAK,RW,0:33,81,,15:16,4.6,3.7,2.3,,2:43,4.4,8.8,0.5,,1:50,1.2,0.8,2.8,browndu01
272,Dustin Byfuglien,WPG,D,0:42,69,,20:00,1.4,3,2.3,,3:03,-5.8,11.1,1.4,,1:16,1.8,2,7.5,byfugdu01
273,Dylan DeMelo,SJS,D,0:36,63,,13:27,0.2,2.7,2.8,,0:27,-1,7.4,0,,0:17,12.6,0,13.4,demeldy01
274,Dylan Gambrell,SJS,C,0:49,3,,10:33,-3.7,1.9,3.8,,0:00,,,,,0:00,,,,gambrdy01
275,Dylan Larkin,DET,C,0:39,82,,15:41,2.9,3,3.5,,2:09,-2.6,5.7,1.4,,1:59,3.5,1.8,6.6,larkidy01
276,Dylan Sikura,CHI,C,0:47,5,,12:36,-5.4,3.8,1,,0:48,-43.3,15,15,,0:00,,,,sikurdy01
277,Dylan Strome,ARI,C,0:30,21,,11:21,3.6,2.5,1.5,,1:30,-2.4,4,0,,0:04,-8.5,0,0,stromdy01
278,Eeli Tolvanen,NSH,RW,0:38,3,,11:21,-18.7,0,0,,0:45,-33.3,0,0,,0:00,,,,tolvaee01
279,Elias Lindholm,CAR,C,0:51,81,,13:55,-1.7,2.6,3.1,,2:37,3.7,6.8,0.3,,1:20,-1.1,1.7,7.7,lindhel01
280,Eric Fehr,TOT,RW,0:33,18,,10:12,1.3,4.6,1.9,,0:01,,0,0,,1:32,17.4,0,4.7,fehrer01
281,Eric Gryba,EDM,D,0:42,21,,13:19,1.7,3.3,3,,0:00,,,,,1:26,3.4,4.1,6.1,grybaer01
282,Eric Robinson,CBJ,LW,0:40,1,,11:05,14.5,5.4,0,,0:16,,,,,0:00,,,,robiner01
283,Eric Staal,MIN,C,0:34,82,,14:32,3.5,3.9,3.5,,2:10,-4,7.4,1,,1:04,-1.8,2,7.5,staaler01
284,Erik Burgdoerfer,OTT,D,0:53,2,,13:25,2.9,4.5,0,,0:00,,,,,0:00,,,,burgder01
285,Erik Gudbranson,VAN,D,0:36,52,,15:50,-6,1.5,2,,0:02,15.6,0,0,,2:32,0.7,0,10.9,gudbrer01
286,Erik Gustafsson,CHI,D,0:44,35,,17:06,6.6,3.4,3.2,,1:25,2,7.3,1.2,,0:01,-11.5,0,0,gustaer02
287,Erik Haula,VEG,LW,0:42,76,,14:27,-1.1,3.1,3.7,,2:22,-6.2,8.7,1.3,,0:31,6,0,5.5,haulaer01
288,Erik Johnson,COL,D,0:48,62,,19:59,-0.1,2.9,2.9,,1:46,0.7,5.8,2.1,,3:40,-1.6,1.3,7.7,johnser01
289,Erik Karlsson,OTT,D,0:37,71,,21:57,6.4,2.9,3.7,,3:19,2.1,6.1,1,,1:27,9.5,1.1,10.8,karlser01
290,Esa Lindell,DAL,D,0:38,80,,18:34,1.4,2.9,2.1,,1:34,-3.1,4.8,1,,1:54,0.5,0.4,7.1,lindees01
291,Ethan Bear,EDM,D,0:29,18,,16:36,-2.5,1.6,3.6,,1:49,-15.5,9.1,1.8,,0:11,-20.2,0,34.1,bearet01
292,Evan Rodrigues,BUF,C,0:36,48,,11:34,3.7,2.4,3.5,,2:05,0.1,5.8,0,,0:16,-0.5,0,13.8,rodriev01
293,Evander Kane,TOT,LW,0:43,78,,16:17,5.4,2.4,3.2,,2:34,-3.5,4.5,1.6,,0:42,8.8,4,2.6,kaneev01
294,Evgeni Malkin,PIT,C,0:44,78,,15:14,1.4,4,3,,3:40,-0.5,10,0.6,,0:04,22.1,0,16.5,malkiev01
295,Evgenii Dadonov,FLA,RW,0:46,74,,15:22,6.3,3.7,3.1,,3:19,-1.2,6.4,0.7,,0:00,,,,dadonev01
296,Evgeny Kuznetsov,WSH,C,0:53,79,,15:19,0.5,3.3,3,,3:25,8.6,10.4,1.5,,0:03,70.1,12.8,0,kuzneev01
297,Evgeny Svechnikov,DET,LW,0:35,14,,8:49,-1.4,2.4,3.4,,0:00,,,,,0:00,,,,svechev01
298,Filip Chlapík,OTT,C,0:37,20,,9:27,1.2,1.3,2.9,,0:36,7.5,4.9,0,,0:00,,0,0,chlapfi01
299,Filip Chytil,NYR,C,0:36,9,,13:12,-7.2,1.5,4,,0:22,-2.8,0,0,,0:02,,,,chytifi01
300,Filip Forsberg,NSH,C,0:33,67,,14:00,3.2,3.9,2.1,,2:53,1,8.7,0.9,,0:33,7,1.6,3.1,forsbfi01
301,François Beauchemin,ANA,D,0:34,67,,15:06,-2.5,2.8,2.2,,0:31,-9.4,3.4,1.7,,1:40,-2.8,1.6,4.8,beaucfr01
302,Frank Corrado,PIT,D,0:43,5,,11:30,-2.7,0,1,,0:00,,,,,0:00,,,,corrafr01
303,Frank Vatrano,TOT,LW,0:20,41,,10:07,5.1,1.4,1.9,,0:42,-1.2,0,3.5,,0:00,,,,vatrafr01
304,Frans Nielsen,DET,C,0:38,79,,12:48,-1,2.1,2.2,,0:52,2.5,9.5,0.9,,2:08,-0.2,1.4,8.9,nielsfr01
305,Freddie Hamilton,TOT,C,0:30,16,,8:39,3.7,1.5,0.8,,0:00,,,,,0:18,-13,0,19.9,hamilfr01
306,Frédérick Gaudreau,NSH,C,0:37,20,,9:02,-3.6,2.3,2.3,,0:00,-88.9,0,0,,0:06,-12,0,0,gaudrfr01
307,Frederik Gauthier,TOR,C,0:28,9,,7:22,-16.2,0.9,5.5,,0:03,,0,0,,1:18,25.8,4.8,4.8,gauthfr01
308,Fredrik Claesson,OTT,D,0:36,64,,13:59,-1.3,1.9,2.3,,0:03,1,34,0,,1:18,5.7,0,6.5,claesfr01
309,Gabriel Bourque,COL,LW,0:29,58,,9:00,-9.3,1.4,2.1,,0:00,,0,0,,1:53,-3.7,0,6.1,bourqga01
310,Gabriel Carlsson,CBJ,D,0:43,14,,11:04,-2.7,1.9,1.9,,0:00,,0,0,,0:14,-2.8,0,0,carlsga01
311,Gabriel Dumont,TOT,C,0:53,30,,8:06,-2.5,1.4,1.4,,0:01,,,,,0:53,0.3,2.3,4.7,dumonga01
312,Gabriel Landeskog,COL,LW,0:48,78,,15:26,3.7,3.8,2.6,,3:35,0.5,9.1,1.7,,1:07,-2.1,0.7,5.5,landega01
313,Garnet Hathaway,CGY,RW,0:47,59,,10:21,-0.7,2.4,2.4,,0:02,-87.2,0,0,,1:08,5.6,2.8,3.7,hathaga01
314,Gemel Smith,DAL,C,0:38,46,,9:15,3.3,2.2,1.4,,0:02,,0,0,,0:07,18.1,0,0,smithge02
315,Giovanni Fiore,ANA,LW,0:39,1,,6:30,-17.2,0,9.2,,1:23,0,0,0,,0:00,,,,fioregi01
316,Greg McKegg,PIT,C,0:28,26,,8:25,-4.2,1.6,3,,0:08,10.3,0,0,,1:07,7.4,2.1,14.4,mckeggr01
317,Greg Pateryn,DAL,D,0:39,73,,16:58,-1.7,2.3,2.1,,0:03,13.5,0,0,,2:35,-4.1,1,8.6,patergr01
318,Gustav Forsling,CHI,D,0:36,41,,15:27,-6.8,2.7,3.2,,1:09,4.3,6.3,0,,2:31,-1.1,1.7,7,forslgu02
319,Gustav Nyquist,DET,RW,0:35,82,,15:23,3.3,2.3,2.3,,2:27,0.7,6.6,0.3,,0:00,,0,0,nyquigu01
320,Gustav Olofsson,MIN,D,0:35,41,,12:27,-1.3,2.4,2.4,,0:03,12.2,0,0,,0:15,-2.2,0,5.4,olofsgu01
321,Hampus Lindholm,ANA,D,0:43,69,,18:35,4.7,3.1,2.3,,1:46,-4,6.6,0.5,,2:22,-2.3,0.7,6.6,lindhha01
322,Haydn Fleury,CAR,D,0:43,67,,15:46,-4.5,2.1,2.2,,0:06,10.6,0,0,,0:54,-0.9,0,5,fleurha01
323,Henrik Borgström,FLA,C,0:39,4,,11:19,-9,2.6,4,,1:20,0,11.2,0,,0:00,,,,borgshe01
324,Henrik Haapala,FLA,LW,0:40,5,,11:54,-4.9,1,1,,1:47,5,6.7,0,,0:00,,,,haapahe01
325,Henrik Sedin,VAN,C,0:45,82,,12:38,5.6,2.4,3.3,,2:53,-2,8.3,1.5,,0:00,,0,0,sedinhe01
326,Henrik Zetterberg,DET,C,0:43,82,,16:51,2.7,2.3,2.3,,2:37,1.8,7,0.3,,0:00,85.7,0,0,zettehe01
327,Hudson Fasching,BUF,RW,0:50,5,,7:25,-2.7,0,1.6,,2:16,9.2,0,0,,0:00,,,,faschhu01
328,Ian Cole,TOT,D,0:38,67,,15:30,1.8,3.4,1.5,,0:01,-84.9,0,0,,2:14,0.5,1.5,6,coleia01
329,Ian McCoshen,FLA,D,0:38,38,,13:57,-3.1,1.7,2.8,,0:01,12.3,0,0,,1:05,-0.2,0,5.6,mccosia01
330,Iiro Pakarinen,EDM,RW,0:21,40,,8:39,-4.1,1.2,1,,0:06,-21.8,0,0,,1:25,5.7,0,6.4,pakarii01
331,Ivan Barbashev,STL,C,0:37,53,,11:49,-1.6,1.8,1.8,,0:10,0,0,7,,0:10,-7.3,0,21.3,barbaiv01
332,Ivan Provorov,PHI,D,0:51,82,,19:47,-0.1,3.2,2.4,,1:46,-6.4,3.4,1.7,,2:34,-4.3,0,9.8,provoiv01
333,J.T. Brown,TOT,RW,0:38,47,,8:48,-0.9,0.9,2.2,,0:02,12.8,0,0,,0:13,23.4,0,0,brownjt01
334,J.T. Compher,COL,LW,0:37,69,,12:24,0.3,1.5,3.2,,2:11,1.5,8.3,2.8,,1:24,-1.9,1.2,6.2,comphj.01
335,J.T. Miller,TOT,C,0:41,82,,14:25,-0.1,3,2.9,,2:15,-3.8,6.9,0.9,,0:20,15.8,0,5.8,millejt01
336,Jaccob Slavin,CAR,D,0:47,82,,19:21,-0.1,2.8,2.8,,0:37,-5.4,2.5,1.2,,2:36,2,0.8,12.1,slavija01
337,Jack Eichel,BUF,C,0:53,67,,15:37,2.6,2.9,4.1,,3:43,5.5,8.4,1.7,,0:47,9.4,2.3,2.3,eicheja01
338,Jack Johnson,CBJ,D,0:41,77,,17:18,-5.4,2.3,2.7,,0:08,-14.9,5.2,5.2,,2:05,-1.6,0.7,12.3,johnsja02
339,Jack Rodewald,OTT,RW,0:47,4,,7:11,-10.8,0,2.1,,0:01,18.2,0,0,,0:05,87,0,0,rodewja01
340,Jack Roslovic,WPG,C,0:29,31,,11:09,-2.7,3.1,1.9,,1:09,-4.7,6.6,3.3,,0:00,,,,rosloja01
341,Jacob de La Rose,MTL,LW,0:44,55,,10:54,-2.4,1.7,2,,0:01,14.2,0,0,,0:55,-1.9,1.1,11,delarja01
342,Jacob Josefson,BUF,C,0:45,39,,9:45,-12.6,1,1.7,,0:04,13.9,0,0,,1:32,-2.6,1,9.1,josefja01
343,Jacob Trouba,WPG,D,0:35,55,,17:54,0.3,3.2,2.7,,1:28,6.1,4.4,0.7,,2:30,-0.2,0.4,6.5,troubja01
344,Jaden Schwartz,STL,C,0:50,62,,15:31,7,3.7,2.6,,3:13,4.3,7.2,1.2,,0:38,11.8,1.5,6,schwaja01
345,Jake DeBrusk,BOS,LW,1:02,70,,12:28,1.3,3.5,2.3,,1:48,-1,7.3,2.3,,0:05,16.2,0,0,debruja01
346,Jake Dotchin,TBL,D,0:30,48,,15:48,1.4,3.2,2.1,,0:05,10.4,0,0,,0:35,6.6,4.2,10.6,dotchja01
347,Jake Gardiner,TOR,D,0:41,82,,20:04,0.9,2.9,2.5,,2:04,0.8,7.5,1,,0:22,0.7,0,5.2,gardija01
348,Jake Guentzel,PIT,C,0:49,82,,14:29,2.7,2.4,2.9,,1:45,0.8,6.8,0,,0:13,7.1,0,0,guentja01
349,Jake McCabe,BUF,D,0:44,53,,16:58,0.4,2.1,2.9,,0:35,1.8,2,0,,1:55,-1.1,0,4.7,mccabja01
350,Jake Muzzin,LAK,D,0:44,74,,17:03,4.6,2.7,2.2,,2:14,-4.6,7.3,0.7,,2:20,3.8,0.3,5.7,muzzija01
351,Jake Virtanen,VAN,RW,0:29,75,,11:41,2.2,2.1,2.7,,0:17,-2.6,5.6,5.6,,0:00,33.9,0,0,virtaja01
352,Jakob Chychrun,ARI,D,0:41,50,,18:00,-1.3,2.4,2.1,,2:02,2.8,4.7,1.7,,0:11,10.3,0,0,chychja01
353,Jakob Silfverberg,ANA,LW,0:37,77,,14:34,0.7,2.4,2.2,,1:41,5.1,5.3,0.4,,1:41,1.6,1.4,5.1,silfvja01
354,Jakub Jeřábek,TOT,D,0:41,36,,15:59,2.4,2.1,2.3,,0:04,14,20.1,0,,0:14,-10.4,0,7,jerabja01
355,Jakub Voráček,PHI,RW,0:41,82,,15:56,1.5,3.2,2.4,,3:29,6.4,10.2,1.5,,0:01,19.7,0,0,voracja01
356,Jakub Vrána,WSH,LW,0:44,73,,11:49,2.9,2.5,2.4,,0:40,-5.3,3.7,1.2,,0:00,-11.3,0,0,vranaja01
357,James Neal,VEG,LW,0:53,71,,14:41,0.4,3.1,3.5,,2:26,-6.5,8.6,1.4,,0:01,6.9,0,0,nealja01
358,James van Riemsdyk,TOR,LW,0:30,81,,12:35,7.4,2.9,2.5,,2:16,2.4,12.4,1.6,,0:01,-11,0,0,vanrija01
359,Jamie Benn,DAL,LW,0:32,82,,15:22,1.4,3.9,2.6,,3:03,0.1,9.1,1.9,,1:23,-1.8,1.1,6.9,bennja01
360,Jamie McGinn,FLA,LW,0:43,76,,11:51,-4.2,2.6,2.9,,1:34,3.4,6.3,0.5,,0:01,11.2,0,0,mcginja01
361,Jamie Oleksiak,TOT,D,0:40,68,,14:30,-5.7,1.6,3.1,,0:15,14.5,45.6,0,,1:52,1.7,0,6.9,oleksja01
362,Jan Rutta,CHI,D,0:36,57,,16:35,-3,2.7,2.9,,0:24,-2.4,12.6,2.5,,2:15,2.3,0.9,6.1,ruttaja02
363,Janne Kuokkanen,CAR,C/LW,0:41,4,,11:03,13.6,0,4.1,,0:00,,,,,0:00,,,,kuokkja01
364,Jannik Hansen,SJS,LW,0:50,46,,11:12,-0.6,2.9,2.8,,0:04,-1.9,0,0,,0:45,1.7,1.7,6.9,hanseja01
